|Tau|fi|
|0.03385|-0.01045|
|0.06771|-0.01038|
|0.10156|-0.01031|
|0.13542|-0.01024|
|0.16927|-0.01017|
|0.20313|-0.01010|
|0.23698|-0.01003|
|0.27083|-0.00996|
|0.30469|-0.00989|
|0.33854|-0.00982|
|0.37240|-0.00975|
|0.40625|-0.00969|
|0.44010|-0.00962|
|0.47396|-0.00955|
|0.50781|-0.00949|
|0.54167|-0.00942|
|0.57552|-0.00936|
|0.60938|-0.00929|
|0.64323|-0.00923|
|0.67708|-0.00916|
|0.71094|-0.00910|
|0.74479|-0.00904|
|0.77865|-0.00897|
|0.81250|-0.00891|
|0.84635|-0.00885|
|0.88021|-0.00879|
|0.91406|-0.00873|
|0.94792|-0.00867|
|0.98177|-0.00860|
|1.01563|-0.00854|
|1.04948|-0.00849|
|1.08333|-0.00843|
|1.11719|-0.00837|
|1.15104|-0.00831|
|1.18490|-0.00825|
|1.21875|-0.00819|
|1.25260|-0.00814|
|1.28646|-0.00808|
|1.32031|-0.00802|
|1.35417|-0.00797|
|1.38802|-0.00791|
|1.42187|-0.00785|
|1.45573|-0.00780|
|1.48958|-0.00774|
|1.52344|-0.00769|
|1.55729|-0.00763|
|1.59115|-0.00758|
|1.62500|-0.00753|
|1.65885|-0.00747|
|1.69271|-0.00742|
|1.72656|-0.00737|
|1.76042|-0.00732|
|1.79427|-0.00726|
|1.82812|-0.00721|
|1.86198|-0.00716|
|1.89583|-0.00711|
|1.92969|-0.00706|
|1.96354|-0.00701|
|1.99740|-0.00696|
|2.03125|-0.00691|
|2.06510|-0.00686|
|2.09896|-0.00681|
|2.13281|-0.00676|
|2.16667|-0.00672|
|2.20052|-0.00667|
|2.23437|-0.00662|
|2.26823|-0.00657|
|2.30208|-0.00653|
|2.33594|-0.00648|
|2.36979|-0.00643|
|2.40365|-0.00639|
|2.43750|-0.00634|
|2.47135|-0.00630|
|2.50521|-0.00625|
|2.53906|-0.00621|
|2.57292|-0.00616|
|2.60677|-0.00612|
|2.64063|-0.00607|
|2.67448|-0.00603|
|2.70833|-0.00598|
|2.74219|-0.00594|
|2.77604|-0.00590|
|2.80990|-0.00586|
|2.84375|-0.00581|
|2.87760|-0.00577|
|2.91146|-0.00573|
|2.94531|-0.00569|
|2.97917|-0.00565|
|3.01302|-0.00560|
|3.04688|-0.00556|
|3.08073|-0.00552|
|3.11458|-0.00548|
|3.14844|-0.00544|
|3.18229|-0.00540|
|3.21615|-0.00536|
|3.25000|-0.00532|
|3.28385|-0.00529|
|3.31771|-0.00525|
|3.35156|-0.00521|
|3.38542|-0.00517|
|3.41927|-0.00513|
|3.45313|-0.00509|
|3.48698|-0.00506|
|3.52083|-0.00502|
|3.55469|-0.00498|
|3.58854|-0.00495|
|3.62240|-0.00491|
|3.65625|-0.00487|
|3.69010|-0.00484|
|3.72396|-0.00480|
|3.75781|-0.00476|
|3.79167|-0.00473|
|3.82552|-0.00469|
|3.85938|-0.00466|
|3.89323|-0.00462|
|3.92708|-0.00459|
|3.96094|-0.00456|
|3.99479|-0.00452|
|4.02865|-0.00449|
|4.06250|-0.00445|
|4.09635|-0.00442|
|4.13021|-0.00439|
|4.16406|-0.00436|
|4.19792|-0.00432|
|4.23177|-0.00429|
|4.26563|-0.00426|
|4.29948|-0.00423|
|4.33333|-0.00419|
|4.36719|-0.00416|
|4.40104|-0.00413|
|4.43490|-0.00410|
|4.46875|-0.00407|
|4.50260|-0.00404|
|4.53646|-0.00401|
|4.57031|-0.00398|
|4.60417|-0.00395|
|4.63802|-0.00392|
|4.67188|-0.00389|
|4.70573|-0.00386|
|4.73958|-0.00383|
|4.77344|-0.00380|
|4.80729|-0.00377|
|4.84115|-0.00374|
|4.87500|-0.00371|
|4.90885|-0.00368|
|4.94271|-0.00365|
|4.97656|-0.00363|
|5.01042|-0.00360|
|5.04427|-0.00357|
|5.07812|-0.00354|
|5.11198|-0.00352|
|5.14583|-0.00349|
|5.17969|-0.00346|
|5.21354|-0.00343|
|5.24740|-0.00341|
|5.28125|-0.00338|
|5.31510|-0.00335|
|5.34896|-0.00333|
|5.38281|-0.00330|
|5.41667|-0.00328|
|5.45052|-0.00325|
|5.48437|-0.00323|
|5.51823|-0.00320|
|5.55208|-0.00317|
|5.58594|-0.00315|
|5.61979|-0.00313|
|5.65365|-0.00310|
|5.68750|-0.00308|
|5.72135|-0.00305|
|5.75521|-0.00303|
|5.78906|-0.00300|
|5.82292|-0.00298|
|5.85677|-0.00296|
|5.89062|-0.00293|
|5.92448|-0.00291|
|5.95833|-0.00289|
|5.99219|-0.00286|
|6.02604|-0.00284|
|6.05990|-0.00282|
|6.09375|-0.00279|
|6.12760|-0.00277|
|6.16146|-0.00275|
|6.19531|-0.00273|
|6.22917|-0.00271|
|6.26302|-0.00268|
|6.29687|-0.00266|
|6.33073|-0.00264|
|6.36458|-0.00262|
|6.39844|-0.00260|
|6.43229|-0.00258|
|6.46615|-0.00256|
|6.50000|-0.00254|
|6.53385|-0.00251|
|6.56771|-0.00249|
|6.60156|-0.00247|
|6.63542|-0.00245|
|6.66927|-0.00243|
|6.70312|-0.00241|
|6.73698|-0.00239|
|6.77083|-0.00237|
|6.80469|-0.00235|
|6.83854|-0.00233|
|6.87240|-0.00231|
|6.90625|-0.00230|
|6.94010|-0.00228|
|6.97396|-0.00226|
|7.00781|-0.00224|
|7.04167|-0.00222|
|7.07552|-0.00220|
|7.10937|-0.00218|
|7.14323|-0.00216|
|7.17708|-0.00215|
|7.21094|-0.00213|
|7.24479|-0.00211|
