|Tau|fi|
|0.03385|-0.00571|
|0.06771|-0.00571|
|0.10156|-0.00571|
|0.13542|-0.00571|
|0.16927|-0.00571|
|0.20313|-0.00571|
|0.23698|-0.00571|
|0.27083|-0.00571|
|0.30469|-0.00571|
|0.33854|-0.00570|
|0.37240|-0.00570|
|0.40625|-0.00570|
|0.44010|-0.00570|
|0.47396|-0.00570|
|0.50781|-0.00570|
|0.54167|-0.00570|
|0.57552|-0.00570|
|0.60938|-0.00569|
|0.64323|-0.00569|
|0.67708|-0.00569|
|0.71094|-0.00569|
|0.74479|-0.00569|
|0.77865|-0.00568|
|0.81250|-0.00568|
|0.84635|-0.00568|
|0.88021|-0.00568|
|0.91406|-0.00567|
|0.94792|-0.00567|
|0.98177|-0.00567|
|1.01563|-0.00567|
|1.04948|-0.00566|
|1.08333|-0.00566|
|1.11719|-0.00566|
|1.15104|-0.00565|
|1.18490|-0.00565|
|1.21875|-0.00565|
|1.25260|-0.00564|
|1.28646|-0.00564|
|1.32031|-0.00564|
|1.35417|-0.00563|
|1.38802|-0.00563|
|1.42187|-0.00563|
|1.45573|-0.00562|
|1.48958|-0.00562|
|1.52344|-0.00561|
|1.55729|-0.00561|
|1.59115|-0.00561|
|1.62500|-0.00560|
|1.65885|-0.00560|
|1.69271|-0.00559|
|1.72656|-0.00559|
|1.76042|-0.00558|
|1.79427|-0.00558|
|1.82812|-0.00557|
|1.86198|-0.00557|
|1.89583|-0.00556|
|1.92969|-0.00556|
|1.96354|-0.00555|
|1.99740|-0.00555|
|2.03125|-0.00554|
|2.06510|-0.00554|
|2.09896|-0.00553|
|2.13281|-0.00552|
|2.16667|-0.00552|
|2.20052|-0.00551|
|2.23437|-0.00551|
|2.26823|-0.00550|
|2.30208|-0.00549|
|2.33594|-0.00549|
|2.36979|-0.00548|
|2.40365|-0.00548|
|2.43750|-0.00547|
|2.47135|-0.00546|
|2.50521|-0.00546|
|2.53906|-0.00545|
|2.57292|-0.00544|
|2.60677|-0.00544|
|2.64063|-0.00543|
|2.67448|-0.00542|
|2.70833|-0.00542|
|2.74219|-0.00541|
|2.77604|-0.00540|
|2.80990|-0.00539|
|2.84375|-0.00539|
|2.87760|-0.00538|
|2.91146|-0.00537|
|2.94531|-0.00537|
|2.97917|-0.00536|
|3.01302|-0.00535|
|3.04688|-0.00534|
|3.08073|-0.00533|
|3.11458|-0.00533|
|3.14844|-0.00532|
|3.18229|-0.00531|
|3.21615|-0.00530|
|3.25000|-0.00529|
|3.28385|-0.00529|
|3.31771|-0.00528|
|3.35156|-0.00527|
|3.38542|-0.00526|
|3.41927|-0.00525|
|3.45313|-0.00524|
|3.48698|-0.00524|
|3.52083|-0.00523|
|3.55469|-0.00522|
|3.58854|-0.00521|
|3.62240|-0.00520|
|3.65625|-0.00519|
|3.69010|-0.00518|
|3.72396|-0.00517|
|3.75781|-0.00516|
|3.79167|-0.00516|
|3.82552|-0.00515|
|3.85938|-0.00514|
|3.89323|-0.00513|
|3.92708|-0.00512|
|3.96094|-0.00511|
|3.99479|-0.00510|
|4.02865|-0.00509|
|4.06250|-0.00508|
|4.09635|-0.00507|
|4.13021|-0.00506|
|4.16406|-0.00505|
|4.19792|-0.00504|
|4.23177|-0.00503|
|4.26563|-0.00502|
|4.29948|-0.00501|
|4.33333|-0.00500|
|4.36719|-0.00499|
|4.40104|-0.00498|
