|Tau|fi|
|0.00423|-0.03449|
|0.00846|-0.03438|
|0.01270|-0.03428|
|0.01693|-0.03418|
|0.02116|-0.03408|
|0.02539|-0.03398|
|0.02962|-0.03388|
|0.03385|-0.03378|
|0.03809|-0.03368|
|0.04232|-0.03358|
|0.04655|-0.03348|
|0.05078|-0.03338|
|0.05501|-0.03328|
|0.05924|-0.03318|
|0.06348|-0.03308|
|0.06771|-0.03298|
|0.07194|-0.03289|
|0.07617|-0.03279|
|0.08040|-0.03269|
|0.08464|-0.03259|
|0.08887|-0.03250|
|0.09310|-0.03240|
|0.09733|-0.03231|
|0.10156|-0.03221|
|0.10579|-0.03211|
|0.11003|-0.03202|
|0.11426|-0.03192|
|0.11849|-0.03183|
|0.12272|-0.03173|
|0.12695|-0.03164|
|0.13118|-0.03155|
|0.13542|-0.03145|
|0.13965|-0.03136|
|0.14388|-0.03127|
|0.14811|-0.03117|
|0.15234|-0.03108|
|0.15658|-0.03099|
|0.16081|-0.03090|
|0.16504|-0.03081|
|0.16927|-0.03071|
|0.17350|-0.03062|
|0.17773|-0.03053|
|0.18197|-0.03044|
|0.18620|-0.03035|
|0.19043|-0.03026|
|0.19466|-0.03017|
|0.19889|-0.03008|
|0.20312|-0.02999|
|0.20736|-0.02990|
|0.21159|-0.02982|
|0.21582|-0.02973|
|0.22005|-0.02964|
|0.22428|-0.02955|
|0.22852|-0.02946|
|0.23275|-0.02938|
|0.23698|-0.02929|
|0.24121|-0.02920|
|0.24544|-0.02911|
|0.24967|-0.02903|
|0.25391|-0.02894|
|0.25814|-0.02886|
|0.26237|-0.02877|
|0.26660|-0.02868|
|0.27083|-0.02860|
|0.27507|-0.02851|
|0.27930|-0.02843|
|0.28353|-0.02835|
|0.28776|-0.02826|
|0.29199|-0.02818|
|0.29622|-0.02809|
|0.30046|-0.02801|
|0.30469|-0.02793|
|0.30892|-0.02784|
|0.31315|-0.02776|
|0.31738|-0.02768|
|0.32161|-0.02760|
|0.32585|-0.02752|
|0.33008|-0.02743|
|0.33431|-0.02735|
|0.33854|-0.02727|
|0.34277|-0.02719|
|0.34701|-0.02711|
|0.35124|-0.02703|
|0.35547|-0.02695|
|0.35970|-0.02687|
|0.36393|-0.02679|
|0.36816|-0.02671|
|0.37240|-0.02663|
|0.37663|-0.02655|
|0.38086|-0.02647|
|0.38509|-0.02639|
|0.38932|-0.02631|
|0.39355|-0.02624|
|0.39779|-0.02616|
|0.40202|-0.02608|
|0.40625|-0.02600|
|0.41048|-0.02593|
|0.41471|-0.02585|
|0.41895|-0.02577|
|0.42318|-0.02570|
|0.42741|-0.02562|
|0.43164|-0.02554|
