|Tau|fi|
|0.03385|-0.00887|
|0.06771|-0.00883|
|0.10156|-0.00879|
|0.13542|-0.00874|
|0.16927|-0.00870|
|0.20313|-0.00866|
|0.23698|-0.00861|
|0.27083|-0.00857|
|0.30469|-0.00853|
|0.33854|-0.00849|
|0.37240|-0.00845|
|0.40625|-0.00840|
|0.44010|-0.00836|
|0.47396|-0.00832|
|0.50781|-0.00828|
|0.54167|-0.00824|
|0.57552|-0.00820|
|0.60938|-0.00815|
|0.64323|-0.00811|
|0.67708|-0.00807|
|0.71094|-0.00803|
|0.74479|-0.00799|
|0.77865|-0.00795|
|0.81250|-0.00791|
|0.84635|-0.00787|
|0.88021|-0.00783|
|0.91406|-0.00779|
|0.94792|-0.00775|
|0.98177|-0.00771|
|1.01563|-0.00767|
|1.04948|-0.00764|
|1.08333|-0.00760|
|1.11719|-0.00756|
|1.15104|-0.00752|
|1.18490|-0.00748|
|1.21875|-0.00744|
|1.25260|-0.00740|
|1.28646|-0.00737|
|1.32031|-0.00733|
|1.35417|-0.00729|
|1.38802|-0.00725|
|1.42187|-0.00722|
|1.45573|-0.00718|
|1.48958|-0.00714|
|1.52344|-0.00710|
|1.55729|-0.00707|
|1.59115|-0.00703|
|1.62500|-0.00699|
|1.65885|-0.00696|
|1.69271|-0.00692|
|1.72656|-0.00689|
|1.76042|-0.00685|
|1.79427|-0.00681|
|1.82812|-0.00678|
|1.86198|-0.00674|
|1.89583|-0.00671|
|1.92969|-0.00667|
|1.96354|-0.00664|
|1.99740|-0.00660|
|2.03125|-0.00657|
|2.06510|-0.00653|
|2.09896|-0.00650|
|2.13281|-0.00646|
|2.16667|-0.00643|
|2.20052|-0.00640|
|2.23437|-0.00636|
|2.26823|-0.00633|
|2.30208|-0.00629|
|2.33594|-0.00626|
|2.36979|-0.00623|
|2.40365|-0.00619|
|2.43750|-0.00616|
|2.47135|-0.00613|
|2.50521|-0.00609|
|2.53906|-0.00606|
|2.57292|-0.00603|
|2.60677|-0.00600|
|2.64063|-0.00596|
|2.67448|-0.00593|
|2.70833|-0.00590|
|2.74219|-0.00587|
