|Tau|fi|
|0.03385|-0.00569|
|0.06771|-0.00568|
|0.10156|-0.00566|
|0.13542|-0.00565|
|0.16927|-0.00563|
|0.20313|-0.00562|
|0.23698|-0.00560|
|0.27083|-0.00559|
|0.30469|-0.00557|
|0.33854|-0.00556|
|0.37240|-0.00554|
|0.40625|-0.00553|
|0.44010|-0.00551|
|0.47396|-0.00550|
|0.50781|-0.00548|
|0.54167|-0.00547|
|0.57552|-0.00546|
|0.60938|-0.00544|
|0.64323|-0.00543|
|0.67708|-0.00541|
|0.71094|-0.00540|
|0.74479|-0.00538|
|0.77865|-0.00537|
|0.81250|-0.00535|
|0.84635|-0.00534|
|0.88021|-0.00532|
|0.91406|-0.00531|
|0.94792|-0.00529|
|0.98177|-0.00528|
|1.01563|-0.00527|
|1.04948|-0.00525|
|1.08333|-0.00524|
|1.11719|-0.00522|
|1.15104|-0.00521|
|1.18490|-0.00519|
|1.21875|-0.00518|
|1.25260|-0.00516|
|1.28646|-0.00515|
|1.32031|-0.00514|
|1.35417|-0.00512|
|1.38802|-0.00511|
|1.42187|-0.00509|
|1.45573|-0.00508|
|1.48958|-0.00506|
|1.52344|-0.00505|
|1.55729|-0.00504|
|1.59115|-0.00502|
|1.62500|-0.00501|
|1.65885|-0.00499|
|1.69271|-0.00498|
|1.72656|-0.00497|
|1.76042|-0.00495|
|1.79427|-0.00494|
|1.82812|-0.00492|
|1.86198|-0.00491|
|1.89583|-0.00490|
|1.92969|-0.00488|
|1.96354|-0.00487|
|1.99740|-0.00485|
|2.03125|-0.00484|
|2.06510|-0.00483|
|2.09896|-0.00481|
|2.13281|-0.00480|
|2.16667|-0.00479|
|2.20052|-0.00477|
|2.23437|-0.00476|
|2.26823|-0.00474|
|2.30208|-0.00473|
|2.33594|-0.00472|
|2.36979|-0.00470|
|2.40365|-0.00469|
|2.43750|-0.00468|
|2.47135|-0.00466|
|2.50521|-0.00465|
|2.53906|-0.00464|
|2.57292|-0.00462|
|2.60677|-0.00461|
|2.64063|-0.00460|
|2.67448|-0.00458|
|2.70833|-0.00457|
|2.74219|-0.00456|
|2.77604|-0.00454|
|2.80990|-0.00453|
|2.84375|-0.00452|
|2.87760|-0.00450|
|2.91146|-0.00449|
|2.94531|-0.00448|
|2.97917|-0.00446|
|3.01302|-0.00445|
|3.04688|-0.00444|
|3.08073|-0.00442|
|3.11458|-0.00441|
|3.14844|-0.00440|
|3.18229|-0.00438|
|3.21615|-0.00437|
|3.25000|-0.00436|
|3.28385|-0.00434|
|3.31771|-0.00433|
|3.35156|-0.00432|
|3.38542|-0.00431|
|3.41927|-0.00429|
|3.45313|-0.00428|
|3.48698|-0.00427|
|3.52083|-0.00425|
|3.55469|-0.00424|
|3.58854|-0.00423|
|3.62240|-0.00422|
|3.65625|-0.00420|
|3.69010|-0.00419|
|3.72396|-0.00418|
|3.75781|-0.00416|
|3.79167|-0.00415|
|3.82552|-0.00414|
|3.85938|-0.00413|
|3.89323|-0.00411|
|3.92708|-0.00410|
|3.96094|-0.00409|
|3.99479|-0.00408|
|4.02865|-0.00406|
|4.06250|-0.00405|
|4.09635|-0.00404|
|4.13021|-0.00403|
|4.16406|-0.00401|
|4.19792|-0.00400|
|4.23177|-0.00399|
|4.26563|-0.00398|
|4.29948|-0.00396|
|4.33333|-0.00395|
|4.36719|-0.00394|
|4.40104|-0.00393|
|4.43490|-0.00391|
|4.46875|-0.00390|
|4.50260|-0.00389|
|4.53646|-0.00388|
|4.57031|-0.00387|
|4.60417|-0.00385|
|4.63802|-0.00384|
|4.67188|-0.00383|
|4.70573|-0.00382|
|4.73958|-0.00380|
|4.77344|-0.00379|
|4.80729|-0.00378|
|4.84115|-0.00377|
|4.87500|-0.00376|
|4.90885|-0.00374|
|4.94271|-0.00373|
|4.97656|-0.00372|
|5.01042|-0.00371|
|5.04427|-0.00370|
|5.07812|-0.00368|
|5.11198|-0.00367|
|5.14583|-0.00366|
|5.17969|-0.00365|
|5.21354|-0.00364|
|5.24740|-0.00363|
|5.28125|-0.00361|
|5.31510|-0.00360|
|5.34896|-0.00359|
|5.38281|-0.00358|
|5.41667|-0.00357|
|5.45052|-0.00356|
|5.48437|-0.00354|
|5.51823|-0.00353|
|5.55208|-0.00352|
|5.58594|-0.00351|
