|Tau|fi|
|8.32812|-0.00175|
|8.36198|-0.00173|
|8.39583|-0.00172|
|8.42969|-0.00170|
|8.46354|-0.00168|
|8.49740|-0.00167|
|8.53125|-0.00165|
|8.56510|-0.00163|
|8.59896|-0.00162|
|8.63281|-0.00160|
|8.66667|-0.00159|
|8.70052|-0.00157|
|8.73437|-0.00155|
|8.76823|-0.00154|
|8.80208|-0.00152|
|8.83594|-0.00151|
|8.86979|-0.00149|
|8.90365|-0.00148|
|8.93750|-0.00146|
|8.97135|-0.00144|
|9.00521|-0.00143|
|9.03906|-0.00141|
|9.07292|-0.00140|
|9.10677|-0.00139|
|9.14062|-0.00137|
|9.17448|-0.00136|
|9.20833|-0.00134|
|9.24219|-0.00133|
|9.27604|-0.00131|
|9.30990|-0.00130|
|9.34375|-0.00128|
|9.37760|-0.00127|
|9.41146|-0.00126|
|9.44531|-0.00124|
|9.47917|-0.00123|
|9.51302|-0.00121|
|9.54687|-0.00120|
|9.58073|-0.00119|
|9.61458|-0.00117|
|9.64844|-0.00116|
|9.68229|-0.00115|
|9.71615|-0.00113|
|9.75000|-0.00112|
|9.78385|-0.00111|
|9.81771|-0.00109|
|9.85156|-0.00108|
|9.88542|-0.00107|
|9.91927|-0.00106|
|9.95313|-0.00104|
|9.98698|-0.00103|
|10.02083|-0.00102|
|10.05469|-0.00101|
|10.08854|-0.00099|
|10.12240|-0.00098|
|10.15625|-0.00097|
|10.19010|-0.00096|
|10.22396|-0.00095|
|10.25781|-0.00093|
|10.29167|-0.00092|
|10.32552|-0.00091|
|10.35938|-0.00090|
|10.39323|-0.00089|
|10.42708|-0.00088|
|10.46094|-0.00086|
|10.49479|-0.00085|
|10.52865|-0.00084|
|10.56250|-0.00083|
|10.59635|-0.00082|
|10.63021|-0.00081|
|10.66406|-0.00080|
|10.69792|-0.00079|
|10.73177|-0.00077|
|10.76563|-0.00076|
|10.79948|-0.00075|
|10.83333|-0.00074|
|10.86719|-0.00073|
|10.90104|-0.00072|
|10.93490|-0.00071|
|10.96875|-0.00070|
|11.00260|-0.00069|
|11.03646|-0.00068|
|11.07031|-0.00067|
|11.10417|-0.00066|
|11.13802|-0.00065|
|11.17188|-0.00064|
|11.20573|-0.00063|
|11.23958|-0.00062|
|11.27344|-0.00061|
|11.30729|-0.00060|
|11.34115|-0.00059|
|11.37500|-0.00058|
|11.40885|-0.00057|
|11.44271|-0.00056|
|11.47656|-0.00055|
|11.51042|-0.00054|
|11.54427|-0.00054|
|11.57813|-0.00053|
|11.61198|-0.00052|
|11.64583|-0.00051|
|11.67969|-0.00050|
|11.71354|-0.00049|
|11.74740|-0.00048|
|11.78125|-0.00047|
|11.81510|-0.00046|
|11.84896|-0.00046|
|11.88281|-0.00045|
|11.91667|-0.00044|
|11.95052|-0.00043|
|11.98438|-0.00042|
|12.01823|-0.00041|
|12.05208|-0.00041|
|12.08594|-0.00040|
|12.11979|-0.00039|
|12.15365|-0.00038|
|12.18750|-0.00037|
|12.22135|-0.00036|
|12.25521|-0.00036|
|12.28906|-0.00035|
|12.32292|-0.00034|
|12.35677|-0.00033|
|12.39063|-0.00033|
|12.42448|-0.00032|
|12.45833|-0.00031|
|12.49219|-0.00030|
|12.52604|-0.00030|
|12.55990|-0.00029|
|12.59375|-0.00028|
|12.62760|-0.00027|
|12.66146|-0.00027|
|12.69531|-0.00026|
|12.72917|-0.00025|
|12.76302|-0.00025|
|12.79688|-0.00024|
|12.83073|-0.00023|
|12.86458|-0.00022|
|12.89844|-0.00022|
|12.93229|-0.00021|
|12.96615|-0.00020|
|13.00000|-0.00020|
|13.03385|-0.00019|
|13.06771|-0.00018|
|13.10156|-0.00018|
|13.13542|-0.00017|
|13.16927|-0.00016|
|13.20313|-0.00016|
|13.23698|-0.00015|
|13.27083|-0.00015|
|13.30469|-0.00014|
|13.33854|-0.00013|
|13.37240|-0.00013|
|13.40625|-0.00012|
|13.44010|-0.00011|
|13.47396|-0.00011|
|13.50781|-0.00010|
|13.54167|-0.00010|
|13.57552|-0.00009|
|13.60938|-0.00009|
|13.64323|-0.00008|
|13.67708|-0.00007|
|13.71094|-0.00007|
|13.74479|-0.00006|
|13.77865|-0.00006|
|13.84635|-0.00005|
|13.91406|-0.00004|
|13.98177|-0.00002|
|14.04948|-0.00001|
|14.11719|-0.00000|
|14.18490|0.00001|
|14.25260|0.00002|
|14.32031|0.00003|
|14.38802|0.00004|
|14.45573|0.00004|
|14.52344|0.00005|
|14.59115|0.00006|
|14.65885|0.00007|
|14.72656|0.00008|
|14.79427|0.00009|
|14.86198|0.00010|
|14.92969|0.00011|
|14.99740|0.00011|
|15.06510|0.00012|
|15.13281|0.00013|
|15.20052|0.00014|
|15.26823|0.00015|
|15.33594|0.00015|
|15.40365|0.00016|
|15.47135|0.00017|
|15.53906|0.00018|
|15.60677|0.00018|
|15.67448|0.00019|
|15.74219|0.00020|
|15.80990|0.00020|
|15.87760|0.00021|
|15.94531|0.00021|
|16.01302|0.00022|
|16.08073|0.00023|
|16.14844|0.00023|
|16.21615|0.00024|
|16.28385|0.00024|
|16.35156|0.00025|
|16.41927|0.00026|
|16.48698|0.00026|
|16.55469|0.00027|
|16.62240|0.00027|
|16.69010|0.00028|
|16.75781|0.00028|
|16.82552|0.00029|
|16.89323|0.00029|
|16.96094|0.00029|
|17.02865|0.00030|
|17.09635|0.00030|
|17.16406|0.00031|
|17.23177|0.00031|
|17.29948|0.00032|
|17.36719|0.00032|
|17.43490|0.00032|
|17.50260|0.00033|
|17.57031|0.00033|
|17.63802|0.00033|
|17.70573|0.00034|
|17.77344|0.00034|
|17.84115|0.00034|
|17.90885|0.00035|
|17.97656|0.00035|
|18.04427|0.00035|
|18.11198|0.00036|
|18.17969|0.00036|
|18.24740|0.00036|
|18.31510|0.00036|
|18.38281|0.00037|
|18.45052|0.00037|
|18.51823|0.00037|
|18.58594|0.00037|
|18.65365|0.00038|
|18.72135|0.00038|
|18.78906|0.00038|
|18.85677|0.00038|
|18.92448|0.00039|
|18.99219|0.00039|
|19.05990|0.00039|
|19.12760|0.00039|
|19.19531|0.00039|
|19.26302|0.00039|
|19.33073|0.00040|
|19.39844|0.00040|
|19.46615|0.00040|
|19.53385|0.00040|
|19.60156|0.00040|
|19.66927|0.00040|
|19.73698|0.00040|
|19.80469|0.00041|
|19.87240|0.00041|
|19.94010|0.00041|
|20.00781|0.00041|
|20.07552|0.00041|
|20.14323|0.00041|
|20.21094|0.00041|
|20.27865|0.00041|
|20.34635|0.00041|
|20.41406|0.00041|
|20.48177|0.00041|
|20.54948|0.00041|
|20.61719|0.00041|
|20.68490|0.00041|
|20.75260|0.00042|
|20.82031|0.00042|
|20.88802|0.00042|
|20.95573|0.00042|
|21.02344|0.00042|
|21.09115|0.00042|
|21.15885|0.00042|
|21.22656|0.00042|
|21.29427|0.00042|
|21.36198|0.00042|
|21.42969|0.00042|
|21.49740|0.00042|
|21.56510|0.00042|
|21.63281|0.00042|
|21.70052|0.00042|
|21.76823|0.00042|
|21.83594|0.00042|
|21.90365|0.00042|
|21.97135|0.00041|
|22.03906|0.00041|
|22.10677|0.00041|
|22.17448|0.00041|
|22.24219|0.00041|
|22.30990|0.00041|
|22.37760|0.00041|
|22.44531|0.00041|
|22.51302|0.00041|
|22.58073|0.00041|
