|Tau|fi|
|0.03385|-0.00730|
|0.06771|-0.00728|
|0.10156|-0.00727|
|0.13542|-0.00725|
|0.16927|-0.00723|
|0.20313|-0.00722|
|0.23698|-0.00720|
|0.27083|-0.00718|
|0.30469|-0.00717|
|0.33854|-0.00715|
|0.37240|-0.00713|
|0.40625|-0.00712|
|0.44010|-0.00710|
|0.47396|-0.00709|
|0.50781|-0.00707|
|0.54167|-0.00705|
|0.57552|-0.00703|
|0.60938|-0.00702|
|0.64323|-0.00700|
|0.67708|-0.00698|
|0.71094|-0.00697|
|0.74479|-0.00695|
|0.77865|-0.00693|
|0.81250|-0.00692|
|0.84635|-0.00690|
|0.88021|-0.00688|
|0.91406|-0.00686|
|0.94792|-0.00685|
|0.98177|-0.00683|
|1.01563|-0.00681|
|1.04948|-0.00679|
|1.08333|-0.00678|
|1.11719|-0.00676|
|1.15104|-0.00674|
|1.18490|-0.00672|
|1.21875|-0.00671|
|1.25260|-0.00669|
|1.28646|-0.00667|
|1.32031|-0.00665|
|1.35417|-0.00664|
|1.38802|-0.00662|
|1.42187|-0.00660|
|1.45573|-0.00658|
|1.48958|-0.00657|
|1.52344|-0.00655|
|1.55729|-0.00653|
|1.59115|-0.00651|
|1.62500|-0.00649|
|1.65885|-0.00648|
|1.69271|-0.00646|
|1.72656|-0.00644|
|1.76042|-0.00642|
|1.79427|-0.00640|
|1.82812|-0.00638|
|1.86198|-0.00637|
|1.89583|-0.00635|
|1.92969|-0.00633|
|1.96354|-0.00631|
|1.99740|-0.00629|
|2.03125|-0.00627|
|2.06510|-0.00626|
|2.09896|-0.00624|
|2.13281|-0.00622|
|2.16667|-0.00620|
|2.20052|-0.00618|
|2.23437|-0.00616|
|2.26823|-0.00615|
|2.30208|-0.00613|
|2.33594|-0.00611|
|2.36979|-0.00609|
|2.40365|-0.00607|
|2.43750|-0.00605|
|2.47135|-0.00603|
|2.50521|-0.00602|
|2.53906|-0.00600|
|2.57292|-0.00598|
|2.60677|-0.00596|
|2.64063|-0.00594|
|2.67448|-0.00592|
|2.70833|-0.00590|
|2.74219|-0.00588|
|2.77604|-0.00586|
|2.80990|-0.00585|
|2.84375|-0.00583|
|2.87760|-0.00581|
