|Tau|fi|
|0.03385|-0.00570|
|0.06771|-0.00569|
|0.10156|-0.00567|
|0.13542|-0.00566|
|0.16927|-0.00565|
|0.20313|-0.00564|
|0.23698|-0.00563|
|0.27083|-0.00562|
|0.30469|-0.00561|
|0.33854|-0.00560|
|0.37240|-0.00558|
|0.40625|-0.00557|
|0.44010|-0.00556|
|0.47396|-0.00555|
|0.50781|-0.00554|
|0.54167|-0.00553|
|0.57552|-0.00552|
|0.60938|-0.00550|
|0.64323|-0.00549|
|0.67708|-0.00548|
|0.71094|-0.00547|
|0.74479|-0.00546|
|0.77865|-0.00545|
|0.81250|-0.00544|
|0.84635|-0.00542|
|0.88021|-0.00541|
|0.91406|-0.00540|
|0.94792|-0.00539|
|0.98177|-0.00538|
|1.01563|-0.00537|
|1.04948|-0.00535|
|1.08333|-0.00534|
|1.11719|-0.00533|
|1.15104|-0.00532|
|1.18490|-0.00531|
|1.21875|-0.00530|
|1.25260|-0.00529|
|1.28646|-0.00527|
|1.32031|-0.00526|
|1.35417|-0.00525|
|1.38802|-0.00524|
|1.42187|-0.00523|
|1.45573|-0.00522|
|1.48958|-0.00520|
|1.52344|-0.00519|
|1.55729|-0.00518|
|1.59115|-0.00517|
|1.62500|-0.00516|
|1.65885|-0.00515|
|1.69271|-0.00513|
|1.72656|-0.00512|
|1.76042|-0.00511|
|1.79427|-0.00510|
|1.82812|-0.00509|
|1.86198|-0.00508|
|1.89583|-0.00506|
|1.92969|-0.00505|
|1.96354|-0.00504|
|1.99740|-0.00503|
|2.03125|-0.00502|
|2.06510|-0.00501|
|2.09896|-0.00499|
|2.13281|-0.00498|
|2.16667|-0.00497|
|2.20052|-0.00496|
|2.23437|-0.00495|
|2.26823|-0.00494|
|2.30208|-0.00492|
|2.33594|-0.00491|
|2.36979|-0.00490|
|2.40365|-0.00489|
|2.43750|-0.00488|
|2.47135|-0.00487|
|2.50521|-0.00485|
|2.53906|-0.00484|
|2.57292|-0.00483|
|2.60677|-0.00482|
|2.64063|-0.00481|
|2.67448|-0.00480|
|2.70833|-0.00478|
|2.74219|-0.00477|
|2.77604|-0.00476|
|2.80990|-0.00475|
|2.84375|-0.00474|
|2.87760|-0.00473|
|2.91146|-0.00471|
|2.94531|-0.00470|
|2.97917|-0.00469|
|3.01302|-0.00468|
|3.04688|-0.00467|
|3.08073|-0.00466|
|3.11458|-0.00464|
|3.14844|-0.00463|
|3.18229|-0.00462|
|3.21615|-0.00461|
|3.25000|-0.00460|
|3.28385|-0.00459|
|3.31771|-0.00457|
|3.35156|-0.00456|
|3.38542|-0.00455|
|3.41927|-0.00454|
|3.45313|-0.00453|
|3.48698|-0.00452|
|3.52083|-0.00450|
|3.55469|-0.00449|
|3.58854|-0.00448|
|3.62240|-0.00447|
|3.65625|-0.00446|
|3.69010|-0.00445|
|3.72396|-0.00443|
|3.75781|-0.00442|
|3.79167|-0.00441|
|3.82552|-0.00440|
|3.85938|-0.00439|
|3.89323|-0.00438|
|3.92708|-0.00436|
|3.96094|-0.00435|
|3.99479|-0.00434|
|4.02865|-0.00433|
|4.06250|-0.00432|
|4.09635|-0.00431|
|4.13021|-0.00429|
|4.16406|-0.00428|
|4.19792|-0.00427|
|4.23177|-0.00426|
|4.26563|-0.00425|
|4.29948|-0.00424|
|4.33333|-0.00422|
|4.36719|-0.00421|
|4.40104|-0.00420|
|4.43490|-0.00419|
|4.46875|-0.00418|
|4.50260|-0.00417|
|4.53646|-0.00415|
|4.57031|-0.00414|
|4.60417|-0.00413|
|4.63802|-0.00412|
|4.67188|-0.00411|
|4.70573|-0.00410|
|4.73958|-0.00409|
|4.77344|-0.00407|
|4.80729|-0.00406|
|4.84115|-0.00405|
|4.87500|-0.00404|
|4.90885|-0.00403|
|4.94271|-0.00402|
|4.97656|-0.00400|
|5.01042|-0.00399|
|5.04427|-0.00398|
|5.07812|-0.00397|
|5.11198|-0.00396|
|5.14583|-0.00395|
|5.17969|-0.00394|
|5.21354|-0.00392|
|5.24740|-0.00391|
|5.28125|-0.00390|
|5.31510|-0.00389|
|5.34896|-0.00388|
|5.38281|-0.00387|
|5.41667|-0.00386|
|5.45052|-0.00384|
|5.48437|-0.00383|
|5.51823|-0.00382|
|5.55208|-0.00381|
|5.58594|-0.00380|
|5.61979|-0.00379|
|5.65365|-0.00378|
|5.68750|-0.00376|
|5.72135|-0.00375|
|5.75521|-0.00374|
|5.78906|-0.00373|
|5.82292|-0.00372|
|5.85677|-0.00371|
|5.89062|-0.00370|
|5.92448|-0.00368|
|5.95833|-0.00367|
|5.99219|-0.00366|
|6.02604|-0.00365|
|6.05990|-0.00364|
|6.09375|-0.00363|
|6.12760|-0.00362|
|6.16146|-0.00360|
|6.19531|-0.00359|
|6.22917|-0.00358|
|6.26302|-0.00357|
|6.29687|-0.00356|
|6.33073|-0.00355|
|6.36458|-0.00354|
|6.39844|-0.00353|
|6.43229|-0.00351|
|6.46615|-0.00350|
|6.50000|-0.00349|
|6.53385|-0.00348|
|6.56771|-0.00347|
|6.60156|-0.00346|
|6.63542|-0.00345|
|6.66927|-0.00344|
|6.70312|-0.00343|
|6.73698|-0.00341|
|6.77083|-0.00340|
|6.80469|-0.00339|
|6.83854|-0.00338|
|6.87240|-0.00337|
|6.90625|-0.00336|
|6.94010|-0.00335|
|6.97396|-0.00334|
|7.00781|-0.00333|
|7.04167|-0.00331|
|7.07552|-0.00330|
|7.10937|-0.00329|
|7.14323|-0.00328|
|7.17708|-0.00327|
|7.21094|-0.00326|
|7.24479|-0.00325|
|7.27865|-0.00324|
|7.31250|-0.00323|
|7.34635|-0.00321|
|7.38021|-0.00320|
|7.41406|-0.00319|
|7.44792|-0.00318|
|7.48177|-0.00317|
|7.51562|-0.00316|
|7.54948|-0.00315|
|7.58333|-0.00314|
|7.61719|-0.00313|
|7.65104|-0.00312|
|7.68490|-0.00311|
|7.71875|-0.00309|
|7.75260|-0.00308|
|7.78646|-0.00307|
|7.82031|-0.00306|
|7.85417|-0.00305|
|7.88802|-0.00304|
|7.92187|-0.00303|
|7.95573|-0.00302|
|7.98958|-0.00301|
|8.02344|-0.00300|
|8.05729|-0.00299|
|8.09115|-0.00298|
|8.12500|-0.00297|
|8.15885|-0.00295|
|8.19271|-0.00294|
|8.22656|-0.00293|
|8.26042|-0.00292|
|8.29427|-0.00291|
|8.32812|-0.00290|
|8.36198|-0.00289|
|8.39583|-0.00288|
|8.42969|-0.00287|
|8.46354|-0.00286|
|8.49740|-0.00285|
|8.53125|-0.00284|
|8.56510|-0.00283|
|8.59896|-0.00282|
|8.63281|-0.00281|
|8.66667|-0.00280|
|8.70052|-0.00278|
|8.73437|-0.00277|
|8.76823|-0.00276|
|8.80208|-0.00275|
|8.83594|-0.00274|
|8.86979|-0.00273|
|8.90365|-0.00272|
|8.93750|-0.00271|
|8.97135|-0.00270|
|9.00521|-0.00269|
|9.03906|-0.00268|
|9.07292|-0.00267|
|9.10677|-0.00266|
|9.14062|-0.00265|
|9.17448|-0.00264|
|9.20833|-0.00263|
|9.24219|-0.00262|
|9.27604|-0.00261|
|9.30990|-0.00260|
|9.34375|-0.00259|
|9.37760|-0.00258|
|9.41146|-0.00257|
|9.44531|-0.00256|
|9.47917|-0.00255|
|9.51302|-0.00254|
|9.54687|-0.00253|
|9.58073|-0.00252|
|9.61458|-0.00251|
|9.64844|-0.00249|
|9.68229|-0.00248|
|9.71615|-0.00247|
|9.75000|-0.00246|
|9.78385|-0.00245|
|9.81771|-0.00244|
|9.85156|-0.00243|
|9.88542|-0.00242|
|9.91927|-0.00241|
|9.95313|-0.00240|
|9.98698|-0.00239|
|10.02083|-0.00238|
|10.05469|-0.00237|
|10.08854|-0.00236|
|10.12240|-0.00235|
|10.15625|-0.00234|
|10.19010|-0.00233|
|10.22396|-0.00232|
|10.25781|-0.00231|
|10.29167|-0.00230|
|10.32552|-0.00229|
|10.35938|-0.00228|
|10.39323|-0.00227|
|10.42708|-0.00226|
|10.46094|-0.00226|
|10.49479|-0.00225|
|10.52865|-0.00224|
|10.56250|-0.00223|
|10.59635|-0.00222|
|10.63021|-0.00221|
|10.66406|-0.00220|
|10.69792|-0.00219|
|10.73177|-0.00218|
|10.76563|-0.00217|
|10.79948|-0.00216|
|10.83333|-0.00215|
|10.86719|-0.00214|
|10.90104|-0.00213|
|10.93490|-0.00212|
|10.96875|-0.00211|
|11.00260|-0.00210|
|11.03646|-0.00209|
|11.07031|-0.00208|
|11.10417|-0.00207|
|11.13802|-0.00206|
|11.17188|-0.00205|
|11.20573|-0.00204|
|11.23958|-0.00203|
|11.27344|-0.00202|
|11.30729|-0.00201|
|11.34115|-0.00200|
|11.37500|-0.00200|
|11.40885|-0.00199|
|11.44271|-0.00198|
|11.47656|-0.00197|
|11.51042|-0.00196|
|11.54427|-0.00195|
|11.57813|-0.00194|
|11.61198|-0.00193|
|11.64583|-0.00192|
|11.67969|-0.00191|
|11.71354|-0.00190|
|11.74740|-0.00189|
|11.78125|-0.00188|
|11.81510|-0.00187|
|11.84896|-0.00187|
|11.88281|-0.00186|
|11.91667|-0.00185|
|11.95052|-0.00184|
|11.98438|-0.00183|
|12.01823|-0.00182|
|12.05208|-0.00181|
|12.08594|-0.00180|
|12.11979|-0.00179|
|12.15365|-0.00178|
|12.18750|-0.00177|
|12.22135|-0.00177|
|12.25521|-0.00176|
|12.28906|-0.00175|
|12.32292|-0.00174|
