|Tau|fi|
|0.03385|-0.00729|
|0.06771|-0.00726|
|0.10156|-0.00723|
|0.13542|-0.00721|
|0.16927|-0.00718|
|0.20313|-0.00715|
|0.23698|-0.00713|
|0.27083|-0.00710|
|0.30469|-0.00707|
|0.33854|-0.00705|
|0.37240|-0.00702|
|0.40625|-0.00699|
|0.44010|-0.00697|
|0.47396|-0.00694|
|0.50781|-0.00691|
|0.54167|-0.00689|
|0.57552|-0.00686|
|0.60938|-0.00684|
|0.64323|-0.00681|
|0.67708|-0.00678|
|0.71094|-0.00676|
|0.74479|-0.00673|
|0.77865|-0.00671|
|0.81250|-0.00668|
|0.84635|-0.00666|
|0.88021|-0.00663|
|0.91406|-0.00660|
|0.94792|-0.00658|
|0.98177|-0.00655|
|1.01563|-0.00653|
|1.04948|-0.00650|
|1.08333|-0.00648|
|1.11719|-0.00645|
|1.15104|-0.00643|
|1.18490|-0.00640|
|1.21875|-0.00638|
|1.25260|-0.00635|
|1.28646|-0.00633|
|1.32031|-0.00630|
|1.35417|-0.00628|
|1.38802|-0.00626|
|1.42187|-0.00623|
|1.45573|-0.00621|
|1.48958|-0.00618|
|1.52344|-0.00616|
|1.55729|-0.00613|
|1.59115|-0.00611|
|1.62500|-0.00609|
|1.65885|-0.00606|
|1.69271|-0.00604|
|1.72656|-0.00601|
|1.76042|-0.00599|
|1.79427|-0.00597|
|1.82812|-0.00594|
|1.86198|-0.00592|
|1.89583|-0.00590|
|1.92969|-0.00587|
|1.96354|-0.00585|
|1.99740|-0.00583|
|2.03125|-0.00580|
|2.06510|-0.00578|
|2.09896|-0.00576|
|2.13281|-0.00573|
|2.16667|-0.00571|
|2.20052|-0.00569|
|2.23437|-0.00566|
|2.26823|-0.00564|
|2.30208|-0.00562|
|2.33594|-0.00559|
|2.36979|-0.00557|
|2.40365|-0.00555|
|2.43750|-0.00553|
|2.47135|-0.00550|
|2.50521|-0.00548|
|2.53906|-0.00546|
|2.57292|-0.00544|
|2.60677|-0.00541|
|2.64063|-0.00539|
|2.67448|-0.00537|
|2.70833|-0.00535|
|2.74219|-0.00533|
|2.77604|-0.00530|
|2.80990|-0.00528|
|2.84375|-0.00526|
|2.87760|-0.00524|
|2.91146|-0.00522|
|2.94531|-0.00519|
|2.97917|-0.00517|
|3.01302|-0.00515|
|3.04688|-0.00513|
|3.08073|-0.00511|
|3.11458|-0.00509|
|3.14844|-0.00507|
|3.18229|-0.00504|
|3.21615|-0.00502|
|3.25000|-0.00500|
|3.28385|-0.00498|
|3.31771|-0.00496|
|3.35156|-0.00494|
|3.38542|-0.00492|
|3.41927|-0.00490|
|3.45313|-0.00488|
|3.48698|-0.00486|
|3.52083|-0.00484|
|3.55469|-0.00481|
|3.58854|-0.00479|
|3.62240|-0.00477|
|3.65625|-0.00475|
|3.69010|-0.00473|
|3.72396|-0.00471|
|3.75781|-0.00469|
|3.79167|-0.00467|
|3.82552|-0.00465|
|3.85938|-0.00463|
|3.89323|-0.00461|
|3.92708|-0.00459|
|3.96094|-0.00457|
|3.99479|-0.00455|
|4.02865|-0.00453|
|4.06250|-0.00451|
|4.09635|-0.00449|
|4.13021|-0.00447|
|4.16406|-0.00445|
|4.19792|-0.00443|
|4.23177|-0.00441|
|4.26563|-0.00439|
|4.29948|-0.00437|
|4.33333|-0.00436|
|4.36719|-0.00434|
|4.40104|-0.00432|
|4.43490|-0.00430|
|4.46875|-0.00428|
|4.50260|-0.00426|
|4.53646|-0.00424|
|4.57031|-0.00422|
|4.60417|-0.00420|
|4.63802|-0.00418|
|4.67188|-0.00417|
|4.70573|-0.00415|
|4.73958|-0.00413|
|4.77344|-0.00411|
|4.80729|-0.00409|
|4.84115|-0.00407|
|4.87500|-0.00405|
|4.90885|-0.00404|
|4.94271|-0.00402|
|4.97656|-0.00400|
|5.01042|-0.00398|
|5.04427|-0.00396|
|5.07812|-0.00394|
|5.11198|-0.00393|
|5.14583|-0.00391|
|5.17969|-0.00389|
|5.21354|-0.00387|
|5.24740|-0.00385|
|5.28125|-0.00384|
|5.31510|-0.00382|
|5.34896|-0.00380|
|5.38281|-0.00378|
|5.41667|-0.00377|
|5.45052|-0.00375|
|5.48437|-0.00373|
|5.51823|-0.00371|
|5.55208|-0.00370|
|5.58594|-0.00368|
|5.61979|-0.00366|
|5.65365|-0.00364|
|5.68750|-0.00363|
|5.72135|-0.00361|
|5.75521|-0.00359|
|5.78906|-0.00358|
|5.82292|-0.00356|
|5.85677|-0.00354|
|5.89062|-0.00352|
|5.92448|-0.00351|
|5.95833|-0.00349|
|5.99219|-0.00347|
|6.02604|-0.00346|
|6.05990|-0.00344|
|6.09375|-0.00342|
|6.12760|-0.00341|
|6.16146|-0.00339|
|6.19531|-0.00338|
|6.22917|-0.00336|
|6.26302|-0.00334|
|6.29687|-0.00333|
|6.33073|-0.00331|
|6.36458|-0.00329|
|6.39844|-0.00328|
|6.43229|-0.00326|
|6.46615|-0.00325|
|6.50000|-0.00323|
|6.53385|-0.00321|
|6.56771|-0.00320|
|6.60156|-0.00318|
|6.63542|-0.00317|
|6.66927|-0.00315|
|6.70312|-0.00314|
|6.73698|-0.00312|
|6.77083|-0.00310|
|6.80469|-0.00309|
|6.83854|-0.00307|
|6.87240|-0.00306|
|6.90625|-0.00304|
|6.94010|-0.00303|
|6.97396|-0.00301|
|7.00781|-0.00300|
|7.04167|-0.00298|
|7.07552|-0.00297|
|7.10937|-0.00295|
|7.14323|-0.00294|
|7.17708|-0.00292|
|7.21094|-0.00291|
|7.24479|-0.00289|
|7.27865|-0.00288|
|7.31250|-0.00286|
|7.34635|-0.00285|
|7.38021|-0.00283|
|7.41406|-0.00282|
|7.44792|-0.00280|
|7.48177|-0.00279|
|7.51562|-0.00277|
|7.54948|-0.00276|
|7.58333|-0.00275|
|7.61719|-0.00273|
|7.65104|-0.00272|
|7.68490|-0.00270|
|7.71875|-0.00269|
|7.75260|-0.00267|
|7.78646|-0.00266|
|7.82031|-0.00265|
|7.85417|-0.00263|
|7.88802|-0.00262|
|7.92187|-0.00260|
|7.95573|-0.00259|
|7.98958|-0.00258|
|8.02344|-0.00256|
|8.05729|-0.00255|
|8.09115|-0.00254|
|8.12500|-0.00252|
|8.15885|-0.00251|
|8.19271|-0.00249|
|8.22656|-0.00248|
|8.26042|-0.00247|
|8.29427|-0.00245|
|8.32812|-0.00244|
|8.36198|-0.00243|
|8.39583|-0.00241|
|8.42969|-0.00240|
|8.46354|-0.00239|
|8.49740|-0.00237|
|8.53125|-0.00236|
|8.56510|-0.00235|
|8.59896|-0.00234|
|8.63281|-0.00232|
|8.66667|-0.00231|
|8.70052|-0.00230|
|8.73437|-0.00228|
|8.76823|-0.00227|
|8.80208|-0.00226|
|8.83594|-0.00225|
|8.86979|-0.00223|
|8.90365|-0.00222|
|8.93750|-0.00221|
|8.97135|-0.00219|
|9.00521|-0.00218|
|9.03906|-0.00217|
|9.07292|-0.00216|
|9.10677|-0.00214|
|9.14062|-0.00213|
|9.17448|-0.00212|
|9.20833|-0.00211|
|9.24219|-0.00210|
|9.27604|-0.00208|
|9.30990|-0.00207|
|9.34375|-0.00206|
|9.37760|-0.00205|
|9.41146|-0.00204|
|9.44531|-0.00202|
|9.47917|-0.00201|
|9.51302|-0.00200|
|9.54687|-0.00199|
|9.58073|-0.00198|
|9.61458|-0.00196|
|9.64844|-0.00195|
|9.68229|-0.00194|
|9.71615|-0.00193|
|9.75000|-0.00192|
|9.78385|-0.00191|
|9.81771|-0.00189|
|9.85156|-0.00188|
|9.88542|-0.00187|
|9.91927|-0.00186|
|9.95313|-0.00185|
|9.98698|-0.00184|
|10.02083|-0.00183|
|10.05469|-0.00182|
|10.08854|-0.00180|
|10.12240|-0.00179|
|10.15625|-0.00178|
|10.19010|-0.00177|
|10.22396|-0.00176|
|10.25781|-0.00175|
|10.29167|-0.00174|
|10.32552|-0.00173|
|10.35938|-0.00172|
|10.39323|-0.00171|
|10.42708|-0.00169|
|10.46094|-0.00168|
|10.49479|-0.00167|
|10.52865|-0.00166|
|10.56250|-0.00165|
|10.59635|-0.00164|
|10.63021|-0.00163|
|10.66406|-0.00162|
|10.69792|-0.00161|
|10.73177|-0.00160|
|10.76563|-0.00159|
|10.79948|-0.00158|
|10.83333|-0.00157|
|10.86719|-0.00156|
|10.90104|-0.00155|
|10.93490|-0.00154|
|10.96875|-0.00153|
|11.00260|-0.00152|
|11.03646|-0.00151|
|11.07031|-0.00150|
|11.10417|-0.00149|
|11.13802|-0.00148|
|11.17188|-0.00147|
|11.20573|-0.00146|
|11.23958|-0.00145|
|11.27344|-0.00144|
|11.30729|-0.00143|
|11.34115|-0.00142|
|11.37500|-0.00141|
|11.40885|-0.00140|
|11.44271|-0.00139|
|11.47656|-0.00138|
|11.51042|-0.00137|
|11.54427|-0.00136|
|11.57813|-0.00135|
|11.61198|-0.00134|
|11.64583|-0.00133|
|11.67969|-0.00132|
|11.71354|-0.00131|
|11.74740|-0.00130|
|11.78125|-0.00129|
|11.81510|-0.00129|
|11.84896|-0.00128|
|11.88281|-0.00127|
|11.91667|-0.00126|
|11.95052|-0.00125|
|11.98438|-0.00124|
|12.01823|-0.00123|
|12.05208|-0.00122|
|12.08594|-0.00121|
|12.11979|-0.00120|
|12.15365|-0.00119|
|12.18750|-0.00119|
|12.22135|-0.00118|
|12.25521|-0.00117|
|12.28906|-0.00116|
|12.32292|-0.00115|
|12.35677|-0.00114|
|12.39063|-0.00113|
|12.42448|-0.00112|
|12.45833|-0.00112|
|12.49219|-0.00111|
|12.52604|-0.00110|
|12.55990|-0.00109|
|12.59375|-0.00108|
|12.62760|-0.00107|
|12.66146|-0.00107|
|12.69531|-0.00106|
|12.72917|-0.00105|
|12.76302|-0.00104|
|12.79688|-0.00103|
|12.83073|-0.00102|
|12.86458|-0.00102|
|12.89844|-0.00101|
|12.93229|-0.00100|
|12.96615|-0.00099|
|13.00000|-0.00098|
|13.03385|-0.00098|
|13.06771|-0.00097|
|13.10156|-0.00096|
|13.13542|-0.00095|
|13.16927|-0.00094|
|13.20313|-0.00094|
|13.23698|-0.00093|
|13.27083|-0.00092|
|13.30469|-0.00091|
|13.33854|-0.00090|
|13.37240|-0.00090|
|13.40625|-0.00089|
|13.44010|-0.00088|
|13.47396|-0.00087|
|13.50781|-0.00087|
|13.54167|-0.00086|
|13.57552|-0.00085|
|13.60938|-0.00084|
|13.64323|-0.00084|
|13.67708|-0.00083|
|13.71094|-0.00082|
|13.74479|-0.00081|
|13.77865|-0.00081|
|13.81250|-0.00080|
|13.84635|-0.00079|
|13.88021|-0.00079|
|13.91406|-0.00078|
|13.94792|-0.00077|
|13.98177|-0.00076|
|14.01563|-0.00076|
|14.04948|-0.00075|
|14.08333|-0.00074|
|14.11719|-0.00074|
|14.15104|-0.00073|
|14.18490|-0.00072|
|14.21875|-0.00071|
|14.25260|-0.00071|
|14.28646|-0.00070|
|14.32031|-0.00069|
|14.35417|-0.00069|
|14.38802|-0.00068|
|14.42188|-0.00067|
|14.45573|-0.00067|
|14.48958|-0.00066|
|14.52344|-0.00065|
|14.55729|-0.00065|
|14.59115|-0.00064|
|14.62500|-0.00063|
|14.65885|-0.00063|
|14.69271|-0.00062|
|14.72656|-0.00061|
|14.76042|-0.00061|
|14.79427|-0.00060|
|14.82813|-0.00059|
|14.86198|-0.00059|
|14.89583|-0.00058|
|14.92969|-0.00058|
|14.96354|-0.00057|
|14.99740|-0.00056|
|15.03125|-0.00056|
|15.06510|-0.00055|
|15.09896|-0.00054|
|15.13281|-0.00054|
|15.16667|-0.00053|
|15.20052|-0.00053|
|15.23438|-0.00052|
|15.26823|-0.00051|
|15.30208|-0.00051|
|15.33594|-0.00050|
|15.36979|-0.00050|
|15.40365|-0.00049|
|15.43750|-0.00048|
|15.47135|-0.00048|
|15.50521|-0.00047|
|15.53906|-0.00047|
|15.57292|-0.00046|
|15.60677|-0.00045|
|15.64063|-0.00045|
|15.67448|-0.00044|
|15.70833|-0.00044|
|15.74219|-0.00043|
|15.77604|-0.00043|
|15.80990|-0.00042|
|15.84375|-0.00042|
|15.87760|-0.00041|
|15.91146|-0.00040|
|15.94531|-0.00040|
|15.97917|-0.00039|
|16.01302|-0.00039|
|16.04688|-0.00038|
|16.08073|-0.00038|
|16.11458|-0.00037|
|16.14844|-0.00037|
|16.18229|-0.00036|
|16.25000|-0.00035|
|16.31771|-0.00034|
|16.38542|-0.00033|
|16.45313|-0.00032|
|16.52083|-0.00031|
|16.58854|-0.00030|
|16.65625|-0.00029|
|16.72396|-0.00028|
|16.79167|-0.00027|
|16.85938|-0.00026|
|16.92708|-0.00025|
|16.99479|-0.00024|
|17.06250|-0.00023|
|17.13021|-0.00022|
|17.19792|-0.00021|
|17.26563|-0.00020|
|17.33333|-0.00019|
|17.40104|-0.00018|
|17.46875|-0.00018|
|17.53646|-0.00017|
|17.60417|-0.00016|
|17.67188|-0.00015|
|17.73958|-0.00014|
|17.80729|-0.00013|
|17.87500|-0.00012|
|17.94271|-0.00012|
|18.01042|-0.00011|
|18.07813|-0.00010|
|18.14583|-0.00009|
|18.21354|-0.00008|
|18.28125|-0.00008|
|18.34896|-0.00007|
|18.41667|-0.00006|
|18.48438|-0.00005|
|18.55208|-0.00004|
|18.61979|-0.00004|
|18.68750|-0.00003|
|18.75521|-0.00002|
|18.82292|-0.00002|
|18.89063|-0.00001|
|18.95833|-0.00000|
|19.02604|0.00001|
|19.09375|0.00001|
|19.16146|0.00002|
|19.22917|0.00003|
|19.29688|0.00003|
|19.36458|0.00004|
|19.43229|0.00005|
|19.50000|0.00005|
|19.56771|0.00006|
|19.63542|0.00006|
|19.70313|0.00007|
|19.77083|0.00008|
|19.83854|0.00008|
|19.90625|0.00009|
|19.97396|0.00010|
|20.04167|0.00010|
|20.10938|0.00011|
|20.17708|0.00011|
|20.24479|0.00012|
|20.31250|0.00012|
|20.38021|0.00013|
|20.44792|0.00013|
|20.51563|0.00014|
|20.58333|0.00015|
|20.65104|0.00015|
|20.71875|0.00016|
|20.78646|0.00016|
|20.85417|0.00017|
|20.92188|0.00017|
|20.98958|0.00018|
|21.05729|0.00018|
|21.12500|0.00019|
|21.19271|0.00019|
|21.26042|0.00020|
|21.32813|0.00020|
|21.39583|0.00020|
|21.46354|0.00021|
|21.53125|0.00021|
|21.59896|0.00022|
|21.66667|0.00022|
|21.73438|0.00023|
|21.80208|0.00023|
|21.86979|0.00023|
|21.93750|0.00024|
|22.00521|0.00024|
|22.07292|0.00025|
|22.14063|0.00025|
|22.20833|0.00025|
|22.27604|0.00026|
|22.34375|0.00026|
|22.41146|0.00027|
|22.47917|0.00027|
|22.54688|0.00027|
|22.61458|0.00028|
|22.68229|0.00028|
|22.75000|0.00028|
|22.81771|0.00029|
|22.88542|0.00029|
|22.95313|0.00029|
|23.02083|0.00030|
|23.08854|0.00030|
|23.15625|0.00030|
|23.22396|0.00031|
|23.29167|0.00031|
|23.35938|0.00031|
|23.42708|0.00031|
|23.49479|0.00032|
|23.56250|0.00032|
|23.63021|0.00032|
|23.69792|0.00033|
|23.76563|0.00033|
|23.83333|0.00033|
|23.90104|0.00033|
|23.96875|0.00034|
|24.03646|0.00034|
|24.10417|0.00034|
|24.17188|0.00034|
|24.23958|0.00035|
|24.30729|0.00035|
|24.37500|0.00035|
|24.44271|0.00035|
|24.51042|0.00035|
|24.57813|0.00036|
|24.64583|0.00036|
|24.71354|0.00036|
|24.78125|0.00036|
|24.84896|0.00036|
|24.91667|0.00037|
|24.98438|0.00037|
|25.05208|0.00037|
|25.11979|0.00037|
|25.18750|0.00037|
|25.25521|0.00038|
|25.32292|0.00038|
|25.39063|0.00038|
|25.45833|0.00038|
|25.52604|0.00038|
|25.59375|0.00038|
|25.66146|0.00039|
|25.72917|0.00039|
|25.79688|0.00039|
|25.86458|0.00039|
|25.93229|0.00039|
|26.00000|0.00039|
|26.06771|0.00039|
|26.13542|0.00039|
|26.20313|0.00040|
|26.27083|0.00040|
|26.33854|0.00040|
|26.40625|0.00040|
|26.47396|0.00040|
|26.54167|0.00040|
|26.60938|0.00040|
|26.67708|0.00040|
|26.74479|0.00040|
|26.81250|0.00041|
|26.88021|0.00041|
|26.94792|0.00041|
|27.01563|0.00041|
|27.08333|0.00041|
|27.15104|0.00041|
|27.21875|0.00041|
|27.28646|0.00041|
|27.35417|0.00041|
|27.42188|0.00041|
|27.48958|0.00041|
|27.55729|0.00041|
|27.62500|0.00041|
|27.69271|0.00041|
|27.76042|0.00041|
|27.82813|0.00042|
|27.89583|0.00042|
|27.96354|0.00042|
|28.03125|0.00042|
|28.09896|0.00042|
|28.16667|0.00042|
|28.23438|0.00042|
|28.30208|0.00042|
|28.36979|0.00042|
|28.43750|0.00042|
|28.50521|0.00042|
|28.57292|0.00042|
|28.64063|0.00042|
|28.70833|0.00042|
|28.77604|0.00042|
|28.84375|0.00042|
|28.91146|0.00042|
|28.97917|0.00042|
|29.04688|0.00042|
|29.11458|0.00042|
|29.18229|0.00042|
|29.25000|0.00042|
|29.31771|0.00042|
|29.38542|0.00042|
|29.45313|0.00042|
|29.52083|0.00042|
|29.58854|0.00042|
|29.65625|0.00042|
|29.72396|0.00042|
|29.79167|0.00042|
|29.85938|0.00042|
|29.92708|0.00042|
|29.99479|0.00042|
|30.06250|0.00042|
|30.13021|0.00042|
|30.19792|0.00042|
|30.26563|0.00042|
|30.33333|0.00042|
|30.40104|0.00041|
|30.46875|0.00041|
|30.53646|0.00041|
|30.60417|0.00041|
|30.67188|0.00041|
|30.73958|0.00041|
|30.80729|0.00041|
|30.87500|0.00041|
|30.94271|0.00041|
|31.01042|0.00041|
|31.07813|0.00041|
|31.14583|0.00041|
|31.21354|0.00041|
|31.28125|0.00041|
|31.34896|0.00041|
|31.41667|0.00041|
|31.48438|0.00041|
|31.55208|0.00041|
|31.61979|0.00040|
|31.68750|0.00040|
|31.75521|0.00040|
|31.82292|0.00040|
|31.89063|0.00040|
|31.95833|0.00040|
|32.02604|0.00040|
|32.09375|0.00040|
|32.16146|0.00040|
|32.22917|0.00040|
|32.29688|0.00040|
|32.36458|0.00040|
|32.43229|0.00040|
|32.50000|0.00039|
|32.56771|0.00039|
|32.63542|0.00039|
|32.70313|0.00039|
|32.77083|0.00039|
|32.83854|0.00039|
|32.90625|0.00039|
|32.97396|0.00039|
|33.04167|0.00039|
|33.10938|0.00039|
