|Tau|fi|
|0.01693|-0.01846|
|0.03385|-0.01838|
|0.05078|-0.01829|
|0.06771|-0.01821|
|0.08464|-0.01812|
|0.10156|-0.01804|
|0.11849|-0.01796|
|0.13542|-0.01787|
|0.15234|-0.01779|
|0.16927|-0.01771|
|0.18620|-0.01762|
|0.20312|-0.01754|
|0.22005|-0.01746|
|0.23698|-0.01738|
|0.25391|-0.01730|
|0.27083|-0.01721|
|0.28776|-0.01713|
|0.30469|-0.01705|
|0.32161|-0.01697|
|0.33854|-0.01689|
|0.35547|-0.01681|
|0.37240|-0.01673|
|0.38932|-0.01665|
|0.40625|-0.01657|
|0.42318|-0.01649|
|0.44010|-0.01641|
|0.45703|-0.01633|
|0.47396|-0.01626|
|0.49089|-0.01618|
|0.50781|-0.01610|
|0.52474|-0.01602|
|0.54167|-0.01594|
|0.55859|-0.01587|
|0.57552|-0.01579|
|0.59245|-0.01571|
|0.60938|-0.01563|
|0.62630|-0.01556|
|0.64323|-0.01548|
|0.66016|-0.01540|
|0.67708|-0.01533|
|0.69401|-0.01525|
|0.71094|-0.01518|
|0.72786|-0.01510|
|0.74479|-0.01503|
|0.76172|-0.01495|
|0.77865|-0.01488|
|0.79557|-0.01480|
|0.81250|-0.01473|
|0.82943|-0.01466|
|0.84635|-0.01458|
|0.86328|-0.01451|
|0.88021|-0.01444|
|0.89714|-0.01436|
|0.91406|-0.01429|
|0.93099|-0.01422|
|0.94792|-0.01415|
|0.96484|-0.01407|
|0.98177|-0.01400|
|0.99870|-0.01393|
|1.01562|-0.01386|
|1.03255|-0.01379|
|1.04948|-0.01372|
|1.06641|-0.01365|
|1.08333|-0.01358|
|1.10026|-0.01351|
|1.11719|-0.01344|
|1.13411|-0.01337|
|1.15104|-0.01330|
|1.16797|-0.01323|
|1.18490|-0.01316|
|1.20182|-0.01309|
|1.21875|-0.01302|
|1.23568|-0.01295|
|1.25260|-0.01288|
|1.26953|-0.01282|
|1.28646|-0.01275|
|1.30339|-0.01268|
|1.32031|-0.01261|
|1.33724|-0.01255|
|1.35417|-0.01248|
|1.37109|-0.01241|
|1.38802|-0.01235|
|1.40495|-0.01228|
|1.42188|-0.01221|
|1.43880|-0.01215|
|1.45573|-0.01208|
|1.47266|-0.01202|
|1.48958|-0.01195|
|1.50651|-0.01189|
|1.52344|-0.01182|
|1.54036|-0.01176|
|1.55729|-0.01170|
|1.57422|-0.01163|
|1.59115|-0.01157|
|1.60807|-0.01150|
|1.62500|-0.01144|
|1.64193|-0.01138|
|1.65885|-0.01132|
|1.67578|-0.01125|
|1.69271|-0.01119|
|1.70964|-0.01113|
|1.72656|-0.01107|
|1.74349|-0.01101|
|1.76042|-0.01094|
|1.77734|-0.01088|
|1.79427|-0.01082|
|1.81120|-0.01076|
|1.82813|-0.01070|
|1.84505|-0.01064|
|1.86198|-0.01058|
|1.87891|-0.01052|
|1.89583|-0.01046|
|1.91276|-0.01040|
|1.92969|-0.01034|
|1.94661|-0.01028|
|1.96354|-0.01022|
|1.98047|-0.01016|
|1.99740|-0.01011|
|2.01432|-0.01005|
|2.03125|-0.00999|
|2.04818|-0.00993|
|2.06510|-0.00988|
|2.08203|-0.00982|
|2.09896|-0.00976|
|2.11589|-0.00970|
|2.13281|-0.00965|
|2.14974|-0.00959|
|2.16667|-0.00953|
|2.18359|-0.00948|
|2.20052|-0.00942|
|2.21745|-0.00937|
|2.23438|-0.00931|
|2.25130|-0.00926|
|2.26823|-0.00920|
|2.28516|-0.00915|
|2.30208|-0.00909|
|2.31901|-0.00904|
|2.33594|-0.00898|
|2.35286|-0.00893|
|2.36979|-0.00888|
|2.38672|-0.00882|
|2.40365|-0.00877|
|2.42057|-0.00872|
|2.43750|-0.00866|
|2.45443|-0.00861|
|2.47135|-0.00856|
|2.48828|-0.00851|
|2.50521|-0.00845|
|2.52214|-0.00840|
|2.53906|-0.00835|
|2.55599|-0.00830|
|2.57292|-0.00825|
|2.58984|-0.00820|
|2.60677|-0.00815|
|2.62370|-0.00810|
|2.64062|-0.00804|
|2.65755|-0.00799|
|2.67448|-0.00794|
|2.69141|-0.00789|
|2.70833|-0.00785|
|2.72526|-0.00780|
|2.74219|-0.00775|
|2.75911|-0.00770|
|2.77604|-0.00765|
|2.79297|-0.00760|
|2.80990|-0.00755|
|2.82682|-0.00750|
|2.84375|-0.00746|
|2.86068|-0.00741|
|2.87760|-0.00736|
|2.89453|-0.00731|
|2.91146|-0.00727|
|2.92839|-0.00722|
|2.94531|-0.00717|
|2.96224|-0.00712|
|2.97917|-0.00708|
|2.99609|-0.00703|
|3.01302|-0.00699|
|3.02995|-0.00694|
|3.04687|-0.00689|
|3.06380|-0.00685|
|3.08073|-0.00680|
|3.09766|-0.00676|
|3.11458|-0.00671|
|3.13151|-0.00667|
|3.14844|-0.00662|
|3.16536|-0.00658|
|3.18229|-0.00654|
|3.19922|-0.00649|
