|Tau|fi|
|2.16667|-0.00404|
|4.33333|-0.00387|
|6.50000|-0.00360|
|8.66667|-0.00325|
|10.83333|-0.00283|
|10.90104|-0.00282|
|10.96875|-0.00280|
|11.03646|-0.00279|
|11.10417|-0.00278|
|11.17187|-0.00276|
|11.23958|-0.00275|
|11.30729|-0.00273|
|11.37500|-0.00272|
|11.44271|-0.00270|
|11.51042|-0.00269|
|11.57812|-0.00268|
|11.64583|-0.00266|
|11.71354|-0.00265|
|11.78125|-0.00263|
|11.84896|-0.00262|
|11.91667|-0.00260|
|11.98437|-0.00259|
|12.05208|-0.00257|
|12.11979|-0.00256|
|12.18750|-0.00254|
|12.25521|-0.00253|
|12.32292|-0.00251|
|12.39062|-0.00250|
|12.45833|-0.00248|
|12.52604|-0.00247|
|12.59375|-0.00245|
|12.66146|-0.00244|
|12.72917|-0.00242|
|12.79687|-0.00241|
|12.86458|-0.00239|
|12.93229|-0.00238|
|13.00000|-0.00236|
|13.06771|-0.00235|
|13.13542|-0.00233|
|13.20312|-0.00232|
|13.27083|-0.00230|
|13.33854|-0.00229|
|13.40625|-0.00227|
|13.47396|-0.00226|
|13.54167|-0.00224|
|13.60937|-0.00223|
|13.67708|-0.00221|
|13.74479|-0.00220|
|13.81250|-0.00218|
|13.88021|-0.00216|
|13.94792|-0.00215|
|14.01562|-0.00213|
|14.08333|-0.00212|
|14.15104|-0.00210|
|14.21875|-0.00209|
|14.28646|-0.00207|
|14.35417|-0.00206|
|14.42187|-0.00204|
|14.48958|-0.00203|
|14.55729|-0.00201|
|14.62500|-0.00199|
|14.69271|-0.00198|
|14.76042|-0.00196|
|14.82812|-0.00195|
|14.89583|-0.00193|
|14.96354|-0.00192|
|15.03125|-0.00190|
|15.09896|-0.00188|
|15.16667|-0.00187|
|15.23437|-0.00185|
|15.30208|-0.00184|
|15.36979|-0.00182|
|15.43750|-0.00181|
|15.50521|-0.00179|
|15.57292|-0.00178|
|15.64062|-0.00176|
|15.70833|-0.00174|
|15.77604|-0.00173|
|15.84375|-0.00171|
|15.91146|-0.00170|
|15.97917|-0.00168|
|16.04687|-0.00167|
|16.11458|-0.00165|
|16.18229|-0.00163|
|16.25000|-0.00162|
|16.31771|-0.00160|
|16.38542|-0.00159|
|16.45312|-0.00157|
|16.52083|-0.00156|
|16.58854|-0.00154|
|16.65625|-0.00153|
|16.72396|-0.00151|
|16.79167|-0.00149|
|16.85937|-0.00148|
|16.92708|-0.00146|
|16.99479|-0.00145|
|17.06250|-0.00143|
|17.13021|-0.00142|
|17.19792|-0.00140|
|17.26562|-0.00139|
|17.33333|-0.00137|
|17.40104|-0.00135|
|17.46875|-0.00134|
|17.53646|-0.00132|
|17.60417|-0.00131|
|17.67187|-0.00129|
|17.73958|-0.00128|
|17.80729|-0.00126|
|17.87500|-0.00125|
|17.94271|-0.00123|
|18.01042|-0.00121|
|18.07812|-0.00120|
|18.14583|-0.00118|
|18.21354|-0.00117|
|18.28125|-0.00115|
|18.34896|-0.00114|
|18.41667|-0.00112|
|18.48437|-0.00111|
|18.55208|-0.00109|
|18.61979|-0.00108|
|18.68750|-0.00106|
|18.75521|-0.00105|
|18.82292|-0.00103|
|18.89063|-0.00102|
|18.95833|-0.00100|
|19.02604|-0.00099|
|19.09375|-0.00097|
|19.16146|-0.00096|
|19.22917|-0.00094|
|19.29688|-0.00093|
|19.36458|-0.00091|
|19.43229|-0.00090|
|19.50000|-0.00088|
|19.56771|-0.00087|
|19.63542|-0.00085|
|19.70313|-0.00084|
|19.77083|-0.00082|
|19.83854|-0.00081|
|19.90625|-0.00079|
|19.97396|-0.00078|
|20.04167|-0.00076|
|20.10938|-0.00075|
|20.17708|-0.00073|
|20.24479|-0.00072|
|20.31250|-0.00070|
|20.38021|-0.00069|
|20.44792|-0.00068|
|20.51563|-0.00066|
|20.58333|-0.00065|
|20.65104|-0.00063|
|20.71875|-0.00062|
|20.78646|-0.00060|
|20.85417|-0.00059|
|20.92188|-0.00058|
|20.98958|-0.00056|
|21.05729|-0.00055|
|21.12500|-0.00053|
|21.19271|-0.00052|
|21.26042|-0.00050|
|21.32813|-0.00049|
|21.39583|-0.00048|
|21.46354|-0.00046|
|21.53125|-0.00045|
|21.59896|-0.00044|
|21.66667|-0.00042|
|21.73438|-0.00041|
|21.80208|-0.00039|
|21.86979|-0.00038|
|21.93750|-0.00037|
|22.00521|-0.00035|
|22.07292|-0.00034|
|22.14063|-0.00033|
|22.20833|-0.00031|
|22.27604|-0.00030|
|22.34375|-0.00029|
|22.41146|-0.00027|
|22.47917|-0.00026|
|22.54688|-0.00025|
|22.61458|-0.00023|
|22.68229|-0.00022|
|22.75000|-0.00021|
|22.81771|-0.00019|
|22.88542|-0.00018|
|22.95313|-0.00017|
|23.02083|-0.00015|
|23.08854|-0.00014|
|23.15625|-0.00013|
|23.22396|-0.00012|
|23.29167|-0.00010|
|23.35938|-0.00009|
|23.42708|-0.00008|
|23.49479|-0.00006|
|23.56250|-0.00005|
|23.63021|-0.00004|
|23.69792|-0.00003|
|23.76563|-0.00001|
|23.83333|-0.00000|
|23.90104|0.00001|
|23.96875|0.00002|
|24.03646|0.00003|
|24.10417|0.00005|
|24.17188|0.00006|
|24.23958|0.00007|
|24.30729|0.00008|
|24.37500|0.00010|
|24.44271|0.00011|
|24.51042|0.00012|
|24.57813|0.00013|
|24.64583|0.00014|
|24.71354|0.00015|
|24.78125|0.00017|
|24.84896|0.00018|
|24.91667|0.00019|
|24.98438|0.00020|
|25.05208|0.00021|
|25.11979|0.00022|
|25.18750|0.00023|
|25.25521|0.00025|
|25.32292|0.00026|
|25.39063|0.00027|
|25.45833|0.00028|
|25.52604|0.00029|
|25.59375|0.00030|
|25.66146|0.00031|
|25.72917|0.00032|
|25.79688|0.00033|
|25.86458|0.00034|
|25.93229|0.00036|
|26.00000|0.00037|
|26.06771|0.00038|
|26.13542|0.00039|
|26.20313|0.00040|
|26.27083|0.00041|
|26.33854|0.00042|
|26.40625|0.00043|
|26.47396|0.00044|
|26.54167|0.00045|
|26.60938|0.00046|
|26.67708|0.00047|
|26.74479|0.00048|
|26.81250|0.00049|
|26.88021|0.00050|
|26.94792|0.00051|
|27.01563|0.00052|
|27.08333|0.00053|
|27.15104|0.00054|
|27.21875|0.00055|
|27.28646|0.00056|
|27.35417|0.00057|
|27.42188|0.00058|
|27.48958|0.00058|
|27.55729|0.00059|
|27.62500|0.00060|
|27.69271|0.00061|
|27.76042|0.00062|
|27.82813|0.00063|
|27.89583|0.00064|
|27.96354|0.00065|
|28.03125|0.00066|
|28.09896|0.00067|
|28.16667|0.00067|
|28.23438|0.00068|
|28.30208|0.00069|
|28.36979|0.00070|
|28.43750|0.00071|
|28.50521|0.00072|
|28.57292|0.00072|
|28.64063|0.00073|
|28.70833|0.00074|
|28.77604|0.00075|
|28.84375|0.00076|
|28.91146|0.00077|
|28.97917|0.00077|
|29.04688|0.00078|
|29.11458|0.00079|
|29.18229|0.00080|
|29.25000|0.00080|
|29.31771|0.00081|
|29.38542|0.00082|
|29.45313|0.00083|
|29.52083|0.00083|
|29.58854|0.00084|
|29.65625|0.00085|
|29.72396|0.00086|
|29.79167|0.00086|
|29.85938|0.00087|
|29.92708|0.00088|
|29.99479|0.00088|
|30.06250|0.00089|
|30.13021|0.00090|
|30.19792|0.00090|
|30.26563|0.00091|
|30.33333|0.00092|
|30.40104|0.00092|
|30.46875|0.00093|
|30.53646|0.00094|
|30.60417|0.00094|
|30.67188|0.00095|
|30.73958|0.00096|
|30.80729|0.00096|
|30.87500|0.00097|
|30.94271|0.00097|
|31.01042|0.00098|
|31.07813|0.00099|
|31.14583|0.00099|
|31.21354|0.00100|
|31.28125|0.00100|
|31.34896|0.00101|
|31.41667|0.00102|
|31.48438|0.00102|
|31.55208|0.00103|
|31.61979|0.00103|
|31.68750|0.00104|
|31.75521|0.00104|
|31.82292|0.00105|
|31.89063|0.00105|
|31.95833|0.00106|
|32.02604|0.00106|
|32.09375|0.00107|
|32.16146|0.00107|
|32.22917|0.00108|
|32.29688|0.00108|
|32.36458|0.00109|
|32.43229|0.00109|
|32.50000|0.00110|
|32.56771|0.00110|
|32.63542|0.00110|
|32.70313|0.00111|
|32.77083|0.00111|
|32.83854|0.00112|
|32.90625|0.00112|
|32.97396|0.00113|
|33.04167|0.00113|
|33.10938|0.00113|
|33.17708|0.00114|
|33.24479|0.00114|
|33.31250|0.00115|
|33.38021|0.00115|
|33.44792|0.00115|
|33.51563|0.00116|
|33.58333|0.00116|
|33.65104|0.00116|
|33.71875|0.00117|
|33.78646|0.00117|
|33.85417|0.00117|
|33.92188|0.00118|
|33.98958|0.00118|
|34.05729|0.00118|
|34.12500|0.00119|
|34.19271|0.00119|
|34.26042|0.00119|
|34.32813|0.00119|
|34.39583|0.00120|
|34.46354|0.00120|
|34.53125|0.00120|
|34.59896|0.00121|
|34.66667|0.00121|
|34.73438|0.00121|
|34.80208|0.00121|
|34.86979|0.00122|
|34.93750|0.00122|
|35.00521|0.00122|
|35.07292|0.00122|
|35.14063|0.00122|
|35.20833|0.00123|
|35.27604|0.00123|
|35.34375|0.00123|
|35.41146|0.00123|
|35.47917|0.00123|
|35.54688|0.00124|
|35.61458|0.00124|
|35.68229|0.00124|
|35.75000|0.00124|
|35.81771|0.00124|
|35.88542|0.00124|
|35.95313|0.00124|
|36.02083|0.00125|
|36.08854|0.00125|
|36.15625|0.00125|
|36.22396|0.00125|
|36.29167|0.00125|
|36.35938|0.00125|
|36.42708|0.00125|
|36.49479|0.00125|
|36.56250|0.00125|
|36.63021|0.00126|
|36.69792|0.00126|
|36.76563|0.00126|
|36.83333|0.00126|
|36.90104|0.00126|
|36.96875|0.00126|
|37.03646|0.00126|
|37.10417|0.00126|
|37.17188|0.00126|
|37.23958|0.00126|
|37.30729|0.00126|
|37.37500|0.00126|
|37.44271|0.00126|
|37.51042|0.00126|
|37.57813|0.00126|
|37.64583|0.00126|
|37.71354|0.00126|
|37.78125|0.00126|
|37.84896|0.00126|
|37.91667|0.00126|
|37.98438|0.00126|
|38.05208|0.00126|
|38.11979|0.00126|
|38.18750|0.00126|
|38.25521|0.00126|
|38.32292|0.00126|
|38.39063|0.00126|
|38.45833|0.00126|
|38.52604|0.00126|
|38.59375|0.00125|
|38.66146|0.00125|
|38.72917|0.00125|
|38.79688|0.00125|
|38.86458|0.00125|
|38.93229|0.00125|
|39.00000|0.00125|
|39.06771|0.00125|
|39.13542|0.00125|
|39.20312|0.00125|
|39.27083|0.00124|
|39.33854|0.00124|
|39.40625|0.00124|
|39.47396|0.00124|
|39.54167|0.00124|
|39.60937|0.00124|
|39.67708|0.00124|
|39.74479|0.00123|
|39.81250|0.00123|
|39.88021|0.00123|
|39.94792|0.00123|
|40.01562|0.00123|
|40.08333|0.00123|
|40.15104|0.00122|
|40.21875|0.00122|
|40.28646|0.00122|
|40.35417|0.00122|
|40.42187|0.00122|
|40.48958|0.00121|
|40.55729|0.00121|
|40.62500|0.00121|
|40.69271|0.00121|
|40.76042|0.00120|
|40.82812|0.00120|
|40.89583|0.00120|
|40.96354|0.00120|
|41.03125|0.00119|
|41.09896|0.00119|
|41.16667|0.00119|
|41.23437|0.00119|
|41.30208|0.00118|
|41.36979|0.00118|
|41.43750|0.00118|
|41.50521|0.00118|
|41.57292|0.00117|
|41.64062|0.00117|
|41.70833|0.00117|
|41.77604|0.00116|
|41.84375|0.00116|
|41.91146|0.00116|
|41.97917|0.00116|
|42.04687|0.00115|
|42.11458|0.00115|
|42.18229|0.00115|
|42.25000|0.00114|
|42.31771|0.00114|
|42.38542|0.00114|
|42.45312|0.00113|
|42.52083|0.00113|
|42.58854|0.00113|
|42.65625|0.00112|
|42.72396|0.00112|
|42.79167|0.00112|
|42.85937|0.00111|
|42.92708|0.00111|
|42.99479|0.00111|
|43.06250|0.00110|
|43.13021|0.00110|
|43.19792|0.00109|
|43.26562|0.00109|
|43.33333|0.00109|
|43.40104|0.00108|
|43.46875|0.00108|
|43.53646|0.00108|
|43.60417|0.00107|
|43.67187|0.00107|
|43.73958|0.00106|
|43.80729|0.00106|
|43.87500|0.00106|
|43.94271|0.00105|
|44.01042|0.00105|
|44.07812|0.00104|
|44.14583|0.00104|
|44.21354|0.00104|
|44.28125|0.00103|
|44.34896|0.00103|
|44.41667|0.00102|
|44.48437|0.00102|
|44.55208|0.00101|
|44.61979|0.00101|
|44.68750|0.00101|
|44.75521|0.00100|
|44.82292|0.00100|
|44.89062|0.00099|
|44.95833|0.00099|
|45.02604|0.00098|
|45.09375|0.00098|
|45.16146|0.00097|
|45.22917|0.00097|
|45.29687|0.00096|
|45.36458|0.00096|
|45.43229|0.00095|
|45.50000|0.00095|
|45.56771|0.00095|
|45.63542|0.00094|
|45.70312|0.00094|
|45.77083|0.00093|
|45.83854|0.00093|
|45.90625|0.00092|
|45.97396|0.00092|
|46.04167|0.00091|
|46.10937|0.00091|
|46.17708|0.00090|
|46.24479|0.00090|
|46.31250|0.00089|
|46.38021|0.00089|
|46.44792|0.00088|
|46.51562|0.00088|
|46.58333|0.00087|
|46.65104|0.00087|
|46.71875|0.00086|
|46.78646|0.00086|
|46.85417|0.00085|
|46.92187|0.00085|
|46.98958|0.00084|
|47.05729|0.00084|
|47.12500|0.00083|
|47.19271|0.00083|
|47.26042|0.00082|
|47.32812|0.00081|
|47.39583|0.00081|
|47.46354|0.00080|
|47.53125|0.00080|
|47.59896|0.00079|
|47.66667|0.00079|
|47.73437|0.00078|
|47.80208|0.00078|
|47.86979|0.00077|
|47.93750|0.00077|
|48.00521|0.00076|
|48.07292|0.00076|
|48.14062|0.00075|
|48.20833|0.00074|
|48.27604|0.00074|
|48.34375|0.00073|
|48.41146|0.00073|
|48.47917|0.00072|
|48.54687|0.00072|
|48.61458|0.00071|
|48.68229|0.00071|
|48.75000|0.00070|
|48.81771|0.00069|
|48.88542|0.00069|
|48.95312|0.00068|
|49.02083|0.00068|
|49.08854|0.00067|
|49.15625|0.00067|
|49.22396|0.00066|
|49.29167|0.00066|
|49.35937|0.00065|
|49.42708|0.00064|
|49.49479|0.00064|
|49.56250|0.00063|
|49.63021|0.00063|
