|Tau|fi|
|0.00846|-0.02917|
|0.01693|-0.02915|
|0.02539|-0.02913|
|0.03385|-0.02911|
|0.04232|-0.02909|
|0.05078|-0.02906|
|0.05924|-0.02904|
|0.06771|-0.02902|
|0.07617|-0.02900|
|0.08464|-0.02898|
|0.09310|-0.02895|
|0.10156|-0.02893|
|0.11003|-0.02891|
|0.11849|-0.02889|
|0.12695|-0.02886|
|0.13542|-0.02884|
|0.14388|-0.02882|
|0.15234|-0.02880|
|0.16081|-0.02877|
|0.16927|-0.02875|
|0.17773|-0.02873|
|0.18620|-0.02871|
|0.19466|-0.02868|
|0.20313|-0.02866|
|0.21159|-0.02864|
|0.22005|-0.02862|
|0.22852|-0.02859|
|0.23698|-0.02857|
|0.24544|-0.02855|
|0.25391|-0.02852|
|0.26237|-0.02850|
|0.27083|-0.02848|
|0.27930|-0.02845|
|0.28776|-0.02843|
|0.29622|-0.02841|
|0.30469|-0.02838|
|0.31315|-0.02836|
|0.32161|-0.02834|
|0.33008|-0.02831|
|0.33854|-0.02829|
|0.34701|-0.02827|
|0.35547|-0.02824|
|0.36393|-0.02822|
|0.37240|-0.02819|
|0.38086|-0.02817|
|0.38932|-0.02815|
|0.39779|-0.02812|
|0.40625|-0.02810|
|0.41471|-0.02807|
|0.42318|-0.02805|
|0.43164|-0.02803|
|0.44010|-0.02800|
|0.44857|-0.02798|
|0.45703|-0.02795|
|0.46549|-0.02793|
|0.47396|-0.02790|
|0.48242|-0.02788|
|0.49089|-0.02786|
|0.49935|-0.02783|
|0.50781|-0.02781|
|0.51628|-0.02778|
|0.52474|-0.02776|
|0.53320|-0.02773|
|0.54167|-0.02771|
|0.55013|-0.02768|
|0.55859|-0.02766|
|0.56706|-0.02763|
|0.57552|-0.02761|
|0.58398|-0.02758|
|0.59245|-0.02756|
|0.60091|-0.02754|
|0.60938|-0.02751|
|0.61784|-0.02749|
|0.62630|-0.02746|
|0.63477|-0.02743|
|0.64323|-0.02741|
|0.65169|-0.02738|
|0.66016|-0.02736|
|0.66862|-0.02733|
|0.67708|-0.02731|
|0.68555|-0.02728|
|0.69401|-0.02726|
|0.70247|-0.02723|
|0.71094|-0.02721|
|0.71940|-0.02718|
|0.72786|-0.02716|
|0.73633|-0.02713|
|0.74479|-0.02711|
|0.75326|-0.02708|
|0.76172|-0.02705|
|0.77018|-0.02703|
|0.77865|-0.02700|
|0.78711|-0.02698|
|0.79557|-0.02695|
|0.80404|-0.02692|
|0.81250|-0.02690|
|0.82096|-0.02687|
|0.82943|-0.02685|
|0.83789|-0.02682|
|0.84635|-0.02680|
|0.85482|-0.02677|
|0.86328|-0.02674|
|0.87174|-0.02672|
|0.88021|-0.02669|
|0.88867|-0.02666|
|0.89714|-0.02664|
|0.90560|-0.02661|
|0.91406|-0.02659|
|0.92253|-0.02656|
|0.93099|-0.02653|
|0.93945|-0.02651|
|0.94792|-0.02648|
|0.95638|-0.02645|
|0.96484|-0.02643|
|0.97331|-0.02640|
|0.98177|-0.02637|
|0.99023|-0.02635|
|0.99870|-0.02632|
|1.00716|-0.02629|
|1.01563|-0.02627|
|1.02409|-0.02624|
|1.03255|-0.02621|
|1.04102|-0.02619|
|1.04948|-0.02616|
|1.05794|-0.02613|
|1.06641|-0.02611|
|1.07487|-0.02608|
|1.08333|-0.02605|
|1.09180|-0.02603|
|1.10026|-0.02600|
|1.10872|-0.02597|
|1.11719|-0.02594|
|1.12565|-0.02592|
|1.13411|-0.02589|
|1.14258|-0.02586|
|1.15104|-0.02584|
|1.15951|-0.02581|
|1.16797|-0.02578|
|1.17643|-0.02575|
|1.18490|-0.02573|
|1.19336|-0.02570|
|1.20182|-0.02567|
|1.21029|-0.02565|
|1.21875|-0.02562|
|1.22721|-0.02559|
|1.23568|-0.02556|
|1.24414|-0.02554|
|1.25260|-0.02551|
|1.26107|-0.02548|
|1.26953|-0.02545|
|1.27799|-0.02543|
|1.28646|-0.02540|
|1.29492|-0.02537|
|1.30339|-0.02534|
|1.31185|-0.02532|
|1.32031|-0.02529|
|1.32878|-0.02526|
|1.33724|-0.02523|
|1.34570|-0.02520|
|1.35417|-0.02518|
|1.36263|-0.02515|
|1.37109|-0.02512|
|1.37956|-0.02509|
|1.38802|-0.02507|
|1.39648|-0.02504|
|1.40495|-0.02501|
|1.41341|-0.02498|
|1.42187|-0.02495|
|1.43034|-0.02493|
|1.43880|-0.02490|
|1.44727|-0.02487|
|1.45573|-0.02484|
|1.46419|-0.02481|
|1.47266|-0.02478|
|1.48112|-0.02476|
|1.48958|-0.02473|
|1.49805|-0.02470|
|1.50651|-0.02467|
|1.51497|-0.02464|
|1.52344|-0.02462|
|1.53190|-0.02459|
|1.54036|-0.02456|
|1.54883|-0.02453|
|1.55729|-0.02450|
|1.56576|-0.02447|
|1.57422|-0.02445|
|1.58268|-0.02442|
|1.59115|-0.02439|
|1.59961|-0.02436|
|1.60807|-0.02433|
|1.61654|-0.02430|
|1.62500|-0.02427|
|1.63346|-0.02425|
|1.64193|-0.02422|
|1.65039|-0.02419|
|1.65885|-0.02416|
|1.66732|-0.02413|
|1.67578|-0.02410|
|1.68424|-0.02407|
|1.69271|-0.02405|
|1.70117|-0.02402|
|1.70964|-0.02399|
|1.71810|-0.02396|
|1.72656|-0.02393|
|1.73503|-0.02390|
|1.74349|-0.02387|
|1.75195|-0.02384|
|1.76042|-0.02382|
|1.76888|-0.02379|
|1.77734|-0.02376|
|1.78581|-0.02373|
|1.79427|-0.02370|
|1.80273|-0.02367|
|1.81120|-0.02364|
|1.81966|-0.02361|
|1.82812|-0.02359|
|1.83659|-0.02356|
|1.84505|-0.02353|
|1.85352|-0.02350|
|1.86198|-0.02347|
|1.87044|-0.02344|
|1.87891|-0.02341|
|1.88737|-0.02338|
|1.89583|-0.02335|
|1.90430|-0.02332|
|1.91276|-0.02329|
|1.92122|-0.02327|
|1.92969|-0.02324|
|1.93815|-0.02321|
|1.94661|-0.02318|
|1.95508|-0.02315|
|1.96354|-0.02312|
|1.97201|-0.02309|
|1.98047|-0.02306|
|1.98893|-0.02303|
|1.99740|-0.02300|
|2.00586|-0.02297|
|2.01432|-0.02294|
|2.02279|-0.02292|
|2.03125|-0.02289|
|2.03971|-0.02286|
|2.04818|-0.02283|
|2.05664|-0.02280|
|2.06510|-0.02277|
|2.07357|-0.02274|
|2.08203|-0.02271|
|2.09049|-0.02268|
|2.09896|-0.02265|
|2.10742|-0.02262|
|2.11589|-0.02259|
|2.12435|-0.02256|
|2.13281|-0.02253|
|2.14128|-0.02250|
|2.14974|-0.02248|
|2.15820|-0.02245|
|2.16667|-0.02242|
|2.17513|-0.02239|
|2.18359|-0.02236|
|2.19206|-0.02233|
|2.20052|-0.02230|
|2.20898|-0.02227|
|2.21745|-0.02224|
|2.22591|-0.02221|
|2.23437|-0.02218|
|2.24284|-0.02215|
|2.25130|-0.02212|
|2.25977|-0.02209|
|2.26823|-0.02206|
|2.27669|-0.02203|
|2.28516|-0.02200|
|2.29362|-0.02197|
|2.30208|-0.02194|
|2.31055|-0.02191|
|2.31901|-0.02188|
|2.32747|-0.02185|
|2.33594|-0.02182|
|2.34440|-0.02180|
|2.35286|-0.02177|
|2.36133|-0.02174|
|2.36979|-0.02171|
|2.37826|-0.02168|
|2.38672|-0.02165|
|2.39518|-0.02162|
|2.40365|-0.02159|
|2.41211|-0.02156|
|2.42057|-0.02153|
|2.42904|-0.02150|
|2.43750|-0.02147|
|2.44596|-0.02144|
|2.45443|-0.02141|
|2.46289|-0.02138|
|2.47135|-0.02135|
|2.47982|-0.02132|
|2.48828|-0.02129|
|2.49674|-0.02126|
|2.50521|-0.02123|
|2.51367|-0.02120|
|2.52214|-0.02117|
|2.53060|-0.02114|
|2.53906|-0.02111|
|2.54753|-0.02108|
|2.55599|-0.02105|
|2.56445|-0.02102|
|2.57292|-0.02099|
|2.58138|-0.02096|
|2.58984|-0.02093|
|2.59831|-0.02090|
|2.60677|-0.02087|
|2.61523|-0.02084|
|2.62370|-0.02081|
|2.63216|-0.02078|
|2.64063|-0.02075|
|2.64909|-0.02072|
|2.65755|-0.02069|
|2.66602|-0.02066|
|2.67448|-0.02063|
|2.68294|-0.02060|
|2.69141|-0.02057|
|2.69987|-0.02054|
|2.70833|-0.02051|
|2.71680|-0.02048|
|2.72526|-0.02045|
|2.73372|-0.02042|
|2.74219|-0.02039|
|2.75065|-0.02036|
|2.75911|-0.02033|
|2.76758|-0.02030|
|2.77604|-0.02027|
|2.78451|-0.02024|
|2.79297|-0.02021|
|2.80143|-0.02018|
|2.80990|-0.02015|
|2.81836|-0.02013|
|2.82682|-0.02010|
|2.83529|-0.02007|
|2.84375|-0.02004|
|2.85221|-0.02001|
|2.86068|-0.01998|
|2.86914|-0.01995|
|2.87760|-0.01992|
|2.88607|-0.01989|
|2.89453|-0.01986|
|2.90299|-0.01983|
|2.91146|-0.01980|
|2.91992|-0.01977|
|2.92839|-0.01974|
|2.93685|-0.01971|
|2.94531|-0.01968|
|2.95378|-0.01965|
|2.96224|-0.01962|
|2.97070|-0.01959|
|2.97917|-0.01956|
|2.98763|-0.01953|
|2.99609|-0.01950|
|3.00456|-0.01947|
|3.01302|-0.01944|
|3.02148|-0.01941|
|3.02995|-0.01938|
|3.03841|-0.01935|
|3.04688|-0.01932|
|3.05534|-0.01929|
|3.06380|-0.01926|
|3.07227|-0.01923|
|3.08073|-0.01920|
|3.08919|-0.01917|
|3.09766|-0.01914|
|3.10612|-0.01911|
|3.11458|-0.01908|
|3.12305|-0.01905|
|3.13151|-0.01902|
|3.13997|-0.01899|
|3.14844|-0.01896|
|3.15690|-0.01893|
|3.16536|-0.01890|
|3.17383|-0.01887|
|3.18229|-0.01884|
|3.19076|-0.01881|
|3.19922|-0.01878|
|3.20768|-0.01875|
|3.21615|-0.01872|
|3.22461|-0.01869|
|3.23307|-0.01866|
|3.24154|-0.01863|
|3.25000|-0.01860|
|3.25846|-0.01857|
|3.26693|-0.01854|
|3.27539|-0.01851|
|3.28385|-0.01848|
|3.29232|-0.01845|
|3.30078|-0.01842|
|3.30924|-0.01839|
|3.31771|-0.01836|
|3.32617|-0.01833|
|3.33464|-0.01830|
|3.34310|-0.01827|
|3.35156|-0.01824|
|3.36003|-0.01821|
|3.36849|-0.01818|
|3.37695|-0.01815|
|3.38542|-0.01812|
|3.39388|-0.01809|
|3.40234|-0.01806|
|3.41081|-0.01803|
|3.41927|-0.01800|
|3.42773|-0.01797|
|3.43620|-0.01795|
|3.44466|-0.01792|
|3.45313|-0.01789|
|3.46159|-0.01786|
|3.47005|-0.01783|
|3.47852|-0.01780|
|3.48698|-0.01777|
|3.49544|-0.01774|
|3.50391|-0.01771|
|3.51237|-0.01768|
|3.52083|-0.01765|
|3.52930|-0.01762|
|3.53776|-0.01759|
|3.54622|-0.01756|
|3.55469|-0.01753|
|3.56315|-0.01750|
|3.57161|-0.01747|
|3.58008|-0.01744|
|3.58854|-0.01741|
|3.59701|-0.01738|
|3.60547|-0.01735|
|3.61393|-0.01732|
|3.62240|-0.01729|
|3.63086|-0.01726|
|3.63932|-0.01723|
|3.64779|-0.01720|
|3.65625|-0.01717|
|3.66471|-0.01715|
|3.67318|-0.01712|
|3.68164|-0.01709|
|3.69010|-0.01706|
|3.69857|-0.01703|
|3.70703|-0.01700|
|3.71549|-0.01697|
|3.72396|-0.01694|
|3.73242|-0.01691|
|3.74089|-0.01688|
|3.74935|-0.01685|
|3.75781|-0.01682|
|3.76628|-0.01679|
|3.77474|-0.01676|
|3.78320|-0.01673|
|3.79167|-0.01670|
|3.80013|-0.01667|
|3.80859|-0.01664|
|3.81706|-0.01662|
|3.82552|-0.01659|
|3.83398|-0.01656|
|3.84245|-0.01653|
|3.85091|-0.01650|
|3.85938|-0.01647|
|3.86784|-0.01644|
|3.87630|-0.01641|
|3.88477|-0.01638|
|3.89323|-0.01635|
|3.90169|-0.01632|
|3.91016|-0.01629|
|3.91862|-0.01626|
|3.92708|-0.01623|
|3.93555|-0.01621|
|3.94401|-0.01618|
|3.95247|-0.01615|
|3.96094|-0.01612|
|3.96940|-0.01609|
|3.97786|-0.01606|
|3.98633|-0.01603|
|3.99479|-0.01600|
|4.00326|-0.01597|
|4.01172|-0.01594|
|4.02018|-0.01591|
|4.02865|-0.01588|
|4.03711|-0.01586|
|4.04557|-0.01583|
|4.05404|-0.01580|
|4.06250|-0.01577|
|4.07096|-0.01574|
|4.07943|-0.01571|
|4.08789|-0.01568|
|4.09635|-0.01565|
|4.10482|-0.01562|
|4.11328|-0.01559|
|4.12174|-0.01557|
|4.13021|-0.01554|
|4.13867|-0.01551|
|4.14714|-0.01548|
|4.15560|-0.01545|
|4.16406|-0.01542|
|4.17253|-0.01539|
|4.18099|-0.01536|
|4.18945|-0.01533|
|4.19792|-0.01531|
|4.20638|-0.01528|
|4.21484|-0.01525|
|4.22331|-0.01522|
|4.23177|-0.01519|
|4.24023|-0.01516|
|4.24870|-0.01513|
|4.25716|-0.01510|
|4.26563|-0.01508|
|4.27409|-0.01505|
|4.28255|-0.01502|
|4.29102|-0.01499|
|4.29948|-0.01496|
|4.30794|-0.01493|
|4.31641|-0.01490|
|4.32487|-0.01488|
|4.33333|-0.01485|
|4.34180|-0.01482|
|4.35026|-0.01479|
|4.35872|-0.01476|
|4.36719|-0.01473|
|4.37565|-0.01470|
|4.38411|-0.01468|
|4.39258|-0.01465|
|4.40104|-0.01462|
|4.40951|-0.01459|
|4.41797|-0.01456|
|4.42643|-0.01453|
|4.43490|-0.01450|
|4.44336|-0.01448|
|4.45182|-0.01445|
|4.46029|-0.01442|
|4.46875|-0.01439|
|4.47721|-0.01436|
|4.48568|-0.01433|
|4.49414|-0.01431|
|4.50260|-0.01428|
|4.51107|-0.01425|
|4.51953|-0.01422|
|4.52799|-0.01419|
|4.53646|-0.01417|
|4.54492|-0.01414|
|4.55339|-0.01411|
|4.56185|-0.01408|
|4.57031|-0.01405|
|4.57878|-0.01402|
|4.58724|-0.01400|
|4.59570|-0.01397|
|4.60417|-0.01394|
|4.61263|-0.01391|
|4.62109|-0.01388|
|4.62956|-0.01386|
|4.63802|-0.01383|
|4.64648|-0.01380|
|4.65495|-0.01377|
|4.66341|-0.01374|
|4.67188|-0.01372|
|4.68034|-0.01369|
|4.68880|-0.01366|
|4.69727|-0.01363|
|4.70573|-0.01360|
|4.71419|-0.01358|
|4.72266|-0.01355|
|4.73112|-0.01352|
|4.73958|-0.01349|
|4.74805|-0.01347|
|4.75651|-0.01344|
|4.76497|-0.01341|
|4.77344|-0.01338|
|4.78190|-0.01335|
|4.79036|-0.01333|
|4.79883|-0.01330|
|4.80729|-0.01327|
|4.81576|-0.01324|
|4.82422|-0.01322|
|4.83268|-0.01319|
|4.84115|-0.01316|
|4.84961|-0.01313|
|4.85807|-0.01311|
|4.86654|-0.01308|
|4.87500|-0.01305|
