|Tau|fi|
|16.65625|-0.00041|
|16.72396|-0.00040|
|16.79167|-0.00039|
|16.85937|-0.00039|
|16.92708|-0.00038|
|16.99479|-0.00037|
|17.06250|-0.00036|
|17.13021|-0.00036|
|17.19792|-0.00035|
|17.26562|-0.00034|
|17.33333|-0.00034|
|17.40104|-0.00033|
|17.46875|-0.00032|
|17.53646|-0.00032|
|17.60417|-0.00031|
|17.67187|-0.00030|
|17.73958|-0.00030|
|17.80729|-0.00029|
|17.87500|-0.00028|
|17.94271|-0.00028|
|18.01042|-0.00027|
|18.07812|-0.00026|
|18.14583|-0.00026|
|18.21354|-0.00025|
|18.28125|-0.00025|
|18.34896|-0.00024|
|18.41667|-0.00023|
|18.48437|-0.00023|
|18.55208|-0.00022|
|18.61979|-0.00021|
|18.68750|-0.00021|
|18.75521|-0.00020|
|18.82292|-0.00020|
|18.89062|-0.00019|
|18.95833|-0.00019|
|19.02604|-0.00018|
|19.09375|-0.00017|
|19.16146|-0.00017|
|19.22917|-0.00016|
|19.29688|-0.00016|
|19.36458|-0.00015|
|19.43229|-0.00015|
|19.50000|-0.00014|
|19.56771|-0.00013|
|19.63542|-0.00013|
|19.70313|-0.00012|
|19.83854|-0.00011|
|19.97396|-0.00010|
|20.10938|-0.00009|
|20.24479|-0.00008|
|20.38021|-0.00007|
|20.51563|-0.00006|
|20.65104|-0.00005|
|20.78646|-0.00004|
|20.92187|-0.00003|
|21.05729|-0.00003|
|21.19271|-0.00002|
|21.32812|-0.00001|
|21.46354|0.00000|
|21.59896|0.00001|
|21.73437|0.00002|
|21.86979|0.00003|
|22.00521|0.00003|
|22.14062|0.00004|
|22.27604|0.00005|
|22.41146|0.00006|
|22.54687|0.00007|
|22.68229|0.00007|
|22.81771|0.00008|
|22.95312|0.00009|
|23.08854|0.00009|
|23.22396|0.00010|
|23.35937|0.00011|
|23.49479|0.00011|
|23.63021|0.00012|
|23.76562|0.00013|
|23.90104|0.00013|
|24.03646|0.00014|
|24.17187|0.00014|
|24.30729|0.00015|
|24.44271|0.00016|
|24.57812|0.00016|
|24.71354|0.00017|
|24.84896|0.00017|
|24.98437|0.00018|
|25.11979|0.00018|
|25.25521|0.00019|
|25.39062|0.00019|
|25.52604|0.00020|
|25.66146|0.00020|
|25.79687|0.00020|
|25.93229|0.00021|
|26.06771|0.00021|
|26.20312|0.00022|
|26.33854|0.00022|
|26.47396|0.00022|
|26.60937|0.00023|
|26.74479|0.00023|
|26.88021|0.00023|
|27.01562|0.00024|
|27.15104|0.00024|
|27.28646|0.00024|
|27.42187|0.00025|
|27.55729|0.00025|
|27.69271|0.00025|
|27.82812|0.00026|
|27.96354|0.00026|
|28.09896|0.00026|
|28.23437|0.00026|
|28.36979|0.00027|
|28.50521|0.00027|
|28.64062|0.00027|
|28.77604|0.00027|
|28.91146|0.00027|
|29.04687|0.00028|
|29.18229|0.00028|
|29.31771|0.00028|
|29.45312|0.00028|
|29.58854|0.00028|
|29.72396|0.00028|
|29.85937|0.00029|
|29.99479|0.00029|
|30.13021|0.00029|
|30.26562|0.00029|
|30.40104|0.00029|
|30.53646|0.00029|
|30.67187|0.00029|
|30.80729|0.00029|
|30.94271|0.00029|
|31.07812|0.00029|
|31.21354|0.00029|
|31.34896|0.00030|
|31.48437|0.00030|
|31.61979|0.00030|
|31.75521|0.00030|
|31.89062|0.00030|
|32.02604|0.00030|
|32.16146|0.00030|
|32.29687|0.00030|
|32.43229|0.00030|
|32.56771|0.00030|
|32.70312|0.00030|
|32.83854|0.00030|
|32.97396|0.00030|
|33.10937|0.00030|
|33.24479|0.00030|
|33.38021|0.00030|
|33.51562|0.00030|
|33.65104|0.00030|
|33.78646|0.00029|
|33.92187|0.00029|
|34.05729|0.00029|
|34.19271|0.00029|
|34.32812|0.00029|
|34.46354|0.00029|
|34.59896|0.00029|
|34.73437|0.00029|
|34.86979|0.00029|
|35.00521|0.00029|
|35.14062|0.00029|
|35.27604|0.00029|
|35.41146|0.00028|
|35.54687|0.00028|
|35.68229|0.00028|
|35.81771|0.00028|
|35.95312|0.00028|
|36.08854|0.00028|
|36.22396|0.00028|
|36.35937|0.00028|
|36.49479|0.00027|
|36.63021|0.00027|
|36.76562|0.00027|
|36.90104|0.00027|
|37.03646|0.00027|
|37.17187|0.00027|
|37.30729|0.00027|
|37.44271|0.00026|
|37.57812|0.00026|
|37.71354|0.00026|
|37.84896|0.00026|
|37.98438|0.00026|
|38.11979|0.00026|
|38.25521|0.00025|
|38.39063|0.00025|
|38.52604|0.00025|
|38.66146|0.00025|
|38.79688|0.00025|
|38.93229|0.00025|
|39.06771|0.00024|
|39.20313|0.00024|
|39.33854|0.00024|
|39.47396|0.00024|
|39.60938|0.00024|
|39.74479|0.00023|
|39.88021|0.00023|
|40.01563|0.00023|
|40.15104|0.00023|
|40.28646|0.00023|
|40.42188|0.00022|
|40.55729|0.00022|
|40.69271|0.00022|
|40.82813|0.00022|
|40.96354|0.00022|
|41.09896|0.00021|
|41.23438|0.00021|
|41.36979|0.00021|
|41.50521|0.00021|
|41.64063|0.00021|
|41.77604|0.00020|
|41.91146|0.00020|
|42.04688|0.00020|
|42.18229|0.00020|
|42.31771|0.00020|
|42.45313|0.00019|
|42.58854|0.00019|
|42.72396|0.00019|
|42.85938|0.00019|
|42.99479|0.00019|
|43.13021|0.00018|
|43.26563|0.00018|
|43.40104|0.00018|
|43.53646|0.00018|
|43.67188|0.00018|
|43.80729|0.00017|
|43.94271|0.00017|
|44.07813|0.00017|
|44.21354|0.00017|
|44.34896|0.00016|
|44.48438|0.00016|
|44.61979|0.00016|
|44.75521|0.00016|
|44.89063|0.00016|
|45.02604|0.00015|
|45.16146|0.00015|
|45.29688|0.00015|
|45.43229|0.00015|
|45.56771|0.00015|
|45.70313|0.00014|
|45.83854|0.00014|
|45.97396|0.00014|
|46.10938|0.00014|
|46.24479|0.00014|
|46.38021|0.00013|
|46.51563|0.00013|
|46.65104|0.00013|
|46.78646|0.00013|
|46.92188|0.00013|
|47.05729|0.00012|
|47.19271|0.00012|
|47.32813|0.00012|
|47.46354|0.00012|
|47.59896|0.00012|
|47.73438|0.00011|
|47.86979|0.00011|
|48.00521|0.00011|
|48.14063|0.00011|
|48.27604|0.00011|
|48.41146|0.00010|
|48.54688|0.00010|
|48.68229|0.00010|
|48.81771|0.00010|
|48.95313|0.00010|
|49.08854|0.00009|
|49.22396|0.00009|
|49.35938|0.00009|
|49.63021|0.00009|
|49.90104|0.00008|
|50.17188|0.00008|
|50.44271|0.00008|
|50.71354|0.00007|
|50.98438|0.00007|
|51.25521|0.00007|
|51.52604|0.00006|
|51.79688|0.00006|
|52.06771|0.00006|
|52.33854|0.00005|
|52.60938|0.00005|
|52.88021|0.00005|
|53.42188|0.00004|
|53.96354|0.00004|
|54.50521|0.00003|
|55.04688|0.00003|
|56.13021|0.00002|
|58.29688|-0.00000|
|60.46354|-0.00001|
|62.63021|-0.00002|
|66.96354|-0.00004|
|71.29688|-0.00004|
|75.63021|-0.00004|
|79.96354|-0.00003|
|84.29688|-0.00002|
|88.63021|-0.00001|
|92.96354|-0.00001|
|97.29688|-0.00000|
|101.63021|-0.00000|
|105.96354|0.00000|
|114.63021|0.00000|
|123.29688|0.00000|
|131.96354|-0.00000|
|140.63021|-0.00000|
|157.96354|-0.00000|
|175.29688|-0.00000|
|192.63021|0.00000|
|209.96354|0.00000|
|227.29688|0.00000|
|244.63021|-0.00000|
|279.29688|-0.00000|
|313.96354|-0.00000|
