|Tau|fi|
|0.03385|-0.00888|
|0.06771|-0.00884|
|0.10156|-0.00881|
|0.13542|-0.00877|
|0.16927|-0.00874|
|0.20313|-0.00870|
|0.23698|-0.00866|
|0.27083|-0.00863|
|0.30469|-0.00859|
|0.33854|-0.00856|
|0.37240|-0.00852|
|0.40625|-0.00848|
|0.44010|-0.00845|
|0.47396|-0.00841|
|0.50781|-0.00838|
|0.54167|-0.00834|
|0.57552|-0.00831|
|0.60938|-0.00827|
|0.64323|-0.00824|
|0.67708|-0.00820|
|0.71094|-0.00817|
|0.74479|-0.00813|
|0.77865|-0.00810|
|0.81250|-0.00806|
|0.84635|-0.00803|
|0.88021|-0.00799|
|0.91406|-0.00796|
|0.94792|-0.00792|
|0.98177|-0.00789|
|1.01563|-0.00785|
|1.04948|-0.00782|
|1.08333|-0.00778|
|1.11719|-0.00775|
|1.15104|-0.00772|
|1.18490|-0.00768|
|1.21875|-0.00765|
|1.25260|-0.00761|
|1.28646|-0.00758|
|1.32031|-0.00755|
|1.35417|-0.00751|
|1.38802|-0.00748|
|1.42187|-0.00744|
|1.45573|-0.00741|
|1.48958|-0.00738|
|1.52344|-0.00734|
|1.55729|-0.00731|
|1.59115|-0.00728|
|1.62500|-0.00724|
|1.65885|-0.00721|
|1.69271|-0.00718|
|1.72656|-0.00715|
|1.76042|-0.00711|
|1.79427|-0.00708|
|1.82812|-0.00705|
|1.86198|-0.00701|
|1.89583|-0.00698|
|1.92969|-0.00695|
|1.96354|-0.00692|
|1.99740|-0.00688|
|2.03125|-0.00685|
|2.06510|-0.00682|
|2.09896|-0.00679|
|2.13281|-0.00676|
|2.16667|-0.00672|
|2.20052|-0.00669|
|2.23437|-0.00666|
|2.26823|-0.00663|
|2.30208|-0.00660|
|2.33594|-0.00657|
|2.36979|-0.00653|
|2.40365|-0.00650|
|2.43750|-0.00647|
|2.47135|-0.00644|
|2.50521|-0.00641|
|2.53906|-0.00638|
|2.57292|-0.00635|
|2.60677|-0.00632|
|2.64063|-0.00629|
|2.67448|-0.00625|
|2.70833|-0.00622|
|2.74219|-0.00619|
|2.77604|-0.00616|
|2.80990|-0.00613|
|2.84375|-0.00610|
|2.87760|-0.00607|
|2.91146|-0.00604|
|2.94531|-0.00601|
|2.97917|-0.00598|
|3.01302|-0.00595|
|3.04688|-0.00592|
|3.08073|-0.00589|
|3.11458|-0.00586|
|3.14844|-0.00583|
|3.18229|-0.00580|
|3.21615|-0.00577|
