|Tau|fi|
|0.01693|-0.01842|
|0.03385|-0.01830|
|0.05078|-0.01817|
|0.06771|-0.01805|
|0.08464|-0.01793|
|0.10156|-0.01781|
|0.11849|-0.01769|
|0.13542|-0.01757|
|0.15234|-0.01746|
|0.16927|-0.01734|
|0.18620|-0.01722|
|0.20312|-0.01711|
|0.22005|-0.01699|
|0.23698|-0.01688|
|0.25391|-0.01677|
|0.27083|-0.01665|
|0.28776|-0.01654|
|0.30469|-0.01643|
|0.32161|-0.01632|
|0.33854|-0.01621|
|0.35547|-0.01610|
|0.37240|-0.01599|
|0.38932|-0.01589|
|0.40625|-0.01578|
|0.42318|-0.01567|
|0.44010|-0.01557|
|0.45703|-0.01546|
|0.47396|-0.01536|
|0.49089|-0.01526|
|0.50781|-0.01515|
|0.52474|-0.01505|
|0.54167|-0.01495|
|0.55859|-0.01485|
|0.57552|-0.01475|
|0.59245|-0.01465|
|0.60938|-0.01455|
|0.62630|-0.01446|
|0.64323|-0.01436|
|0.66016|-0.01426|
|0.67708|-0.01417|
|0.69401|-0.01407|
|0.71094|-0.01398|
|0.72786|-0.01388|
|0.74479|-0.01379|
|0.76172|-0.01370|
|0.77865|-0.01360|
|0.79557|-0.01351|
|0.81250|-0.01342|
|0.82943|-0.01333|
|0.84635|-0.01324|
|0.86328|-0.01315|
|0.88021|-0.01306|
|0.89714|-0.01297|
|0.91406|-0.01289|
|0.93099|-0.01280|
|0.94792|-0.01271|
|0.96484|-0.01263|
|0.98177|-0.01254|
|0.99870|-0.01246|
|1.01562|-0.01237|
|1.03255|-0.01229|
|1.04948|-0.01221|
|1.06641|-0.01212|
|1.08333|-0.01204|
|1.10026|-0.01196|
|1.11719|-0.01188|
|1.13411|-0.01180|
|1.15104|-0.01172|
|1.16797|-0.01164|
|1.18490|-0.01156|
|1.20182|-0.01148|
|1.21875|-0.01141|
|1.23568|-0.01133|
|1.25260|-0.01125|
|1.26953|-0.01118|
|1.28646|-0.01110|
|1.30339|-0.01103|
|1.32031|-0.01095|
|1.33724|-0.01088|
|1.35417|-0.01080|
|1.37109|-0.01073|
|1.38802|-0.01066|
|1.40495|-0.01059|
|1.42188|-0.01051|
|1.43880|-0.01044|
|1.45573|-0.01037|
|1.47266|-0.01030|
|1.48958|-0.01023|
|1.50651|-0.01016|
|1.52344|-0.01009|
|1.54036|-0.01002|
|1.55729|-0.00996|
|1.57422|-0.00989|
|1.59115|-0.00982|
|1.60807|-0.00975|
|1.62500|-0.00969|
|1.64193|-0.00962|
|1.65885|-0.00956|
|1.67578|-0.00949|
|1.69271|-0.00943|
|1.70964|-0.00936|
|1.72656|-0.00930|
|1.74349|-0.00924|
|1.76042|-0.00917|
|1.77734|-0.00911|
|1.79427|-0.00905|
|1.81120|-0.00899|
|1.82813|-0.00893|
|1.84505|-0.00887|
|1.86198|-0.00880|
|1.87891|-0.00874|
